,Fp1,Fz,F3,F7,FT9,FC5,FC1,C3,T7,TP9,CP5,CP1,Pz,P3,P7,O1,Oz,O2,P4,P8,TP10,CP6,CP2,Cz,C4,T8,FT10,FC6,FC2,F4,F8,Fp2,AF3,AFz,F1,F5,FT7,FC3,C1,C5,TP7,CP3,P1,P5,PO7,PO3,POz,PO4,PO8,P6,P2,CPz,CP4,TP8,C6,C2,FC4,FT8,F6,AF8,AF4,F2,FCz
CP5,0.010050251256281407,0.0,0.0,0.0,0.0,0.035175879396984924,0.005025125628140704,0.035175879396984924,0.035175879396984924,0.0,0.03015075376884422,0.0,0.03015075376884422,0.035175879396984924,0.0,0.0,0.0,0.0,0.0,0.035175879396984924,0.0,0.0,0.035175879396984924,0.035175879396984924,0.035175879396984924,0.035175879396984924,0.035175879396984924,0.01507537688442211,0.035175879396984924,0.0,0.0,0.0,0.0,0.0,0.035175879396984924,0.035175879396984924,0.0,0.0,0.035175879396984924,0.0,0.035175879396984924,0.0,0.035175879396984924,0.0,0.035175879396984924,0.0,0.0,0.03015075376884422,0.020100502512562814,0.03015075376884422,0.035175879396984924,0.0,0.035175879396984924,0.0,0.035175879396984924,0.0,0.020100502512562814,0.0,0.035175879396984924,0.0,0.0,0.035175879396984924,0.035175879396984924
CP1,0.0,0.0,0.05733944954128441,0.03211009174311927,0.0,0.0,0.0,0.0,0.0,0.045871559633027525,0.0,0.06422018348623854,0.0,0.0,0.052752293577981654,0.0,0.0,0.0,0.05733944954128441,0.0,0.05504587155963303,0.06651376146788991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03669724770642202,0.05504587155963303,0.0,0.0,0.034403669724770644,0.0,0.0,0.0,0.04357798165137615,0.0,0.05963302752293578,0.0,0.0,0.0,0.06422018348623854,0.0,0.06192660550458716,0.052752293577981654,0.0,0.0,0.0,0.0,0.027522935779816515,0.0,0.027522935779816515,0.0,0.06422018348623854,0.0,0.04128440366972477,0.0,0.0,0.0,0.0,0.0
Pz,0.0,0.0,0.010752688172043012,0.005376344086021506,0.0,0.03494623655913978,0.0,0.03763440860215054,0.024193548387096774,0.0,0.010752688172043012,0.0,0.053763440860215055,0.03763440860215054,0.016129032258064516,0.0,0.0,0.021505376344086023,0.013440860215053764,0.021505376344086023,0.0,0.005376344086021506,0.03494623655913978,0.02956989247311828,0.04032258064516129,0.04032258064516129,0.04838709677419355,0.002688172043010753,0.04838709677419355,0.005376344086021506,0.005376344086021506,0.0,0.0,0.0,0.03763440860215054,0.016129032258064516,0.0,0.021505376344086023,0.04032258064516129,0.010752688172043012,0.013440860215053764,0.0,0.026881720430107527,0.008064516129032258,0.024193548387096774,0.005376344086021506,0.0,0.010752688172043012,0.005376344086021506,0.010752688172043012,0.026881720430107527,0.0,0.043010752688172046,0.0,0.04032258064516129,0.0,0.005376344086021506,0.0,0.03763440860215054,0.0,0.0,0.03763440860215054,0.02956989247311828
P3,0.002967359050445104,0.0,0.0,0.0,0.0,0.05341246290801187,0.001483679525222552,0.037091988130563795,0.016320474777448073,0.0,0.008902077151335312,0.0,0.02373887240356083,0.05637982195845697,0.0,0.0,0.0,0.008902077151335312,0.0,0.01483679525222552,0.0,0.0,0.05489614243323442,0.032640949554896145,0.025222551928783383,0.04599406528189911,0.037091988130563795,0.004451038575667656,0.025222551928783383,0.0,0.0,0.0,0.0,0.0,0.057863501483679525,0.011869436201780416,0.0,0.002967359050445104,0.05934718100890208,0.0,0.02225519287833828,0.0,0.04302670623145401,0.0,0.03412462908011869,0.0,0.0,0.008902077151335312,0.005934718100890208,0.008902077151335312,0.017804154302670624,0.0,0.05934718100890208,0.0,0.05489614243323442,0.0,0.005934718100890208,0.0,0.04747774480712166,0.0,0.0,0.057863501483679525,0.05192878338278932
P7,0.0,0.0,0.06391752577319587,0.03917525773195876,0.0,0.0,0.0,0.0,0.0,0.04536082474226804,0.0,0.05154639175257732,0.008247422680412371,0.0,0.06391752577319587,0.0,0.0,0.002061855670103093,0.06597938144329897,0.0,0.041237113402061855,0.05979381443298969,0.0,0.0,0.0,0.0,0.004123711340206186,0.0,0.004123711340206186,0.04329896907216495,0.05979381443298969,0.0,0.0,0.030927835051546393,0.0,0.0,0.0,0.05567010309278351,0.0,0.06391752577319587,0.0,0.0,0.0,0.061855670103092786,0.0,0.05979381443298969,0.041237113402061855,0.0,0.0,0.0,0.0,0.024742268041237112,0.0,0.024742268041237112,0.0,0.05154639175257732,0.0,0.032989690721649485,0.0,0.0,0.0,0.0,0.0
O1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O2,0.0,0.0,0.010309278350515464,0.0,0.0,0.030927835051546393,0.0,0.041237113402061855,0.0,0.0,0.0,0.0,0.08247422680412371,0.041237113402061855,0.030927835051546393,0.0,0.0,0.07216494845360824,0.020618556701030927,0.0,0.0,0.0,0.030927835051546393,0.010309278350515464,0.05154639175257732,0.05154639175257732,0.08247422680412371,0.0,0.08247422680412371,0.0,0.0,0.0,0.0,0.0,0.041237113402061855,0.0,0.0,0.05154639175257732,0.05154639175257732,0.010309278350515464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.061855670103092786,0.0,0.05154639175257732,0.0,0.0,0.0,0.041237113402061855,0.0,0.0,0.041237113402061855,0.010309278350515464
P4,0.0,0.0,0.0642570281124498,0.03815261044176707,0.0,0.0,0.0,0.0,0.0,0.04417670682730924,0.0,0.05421686746987952,0.006024096385542169,0.0,0.060240963855421686,0.0,0.0,0.0,0.0642570281124498,0.0,0.04417670682730924,0.06224899598393574,0.0,0.0,0.0,0.0,0.002008032128514056,0.0,0.002008032128514056,0.04216867469879518,0.05823293172690763,0.0,0.0,0.030120481927710843,0.0,0.0,0.0,0.05220883534136546,0.0,0.06626506024096386,0.0,0.0,0.0,0.0642570281124498,0.0,0.06224899598393574,0.04417670682730924,0.0,0.0,0.0,0.0,0.024096385542168676,0.0,0.024096385542168676,0.0,0.05421686746987952,0.0,0.03614457831325301,0.0,0.0,0.0,0.0,0.0
P8,0.006968641114982578,0.0,0.0,0.0,0.0,0.03832752613240418,0.003484320557491289,0.03832752613240418,0.03832752613240418,0.0,0.020905923344947737,0.0,0.03484320557491289,0.03832752613240418,0.0,0.0,0.0,0.0,0.0,0.03484320557491289,0.0,0.0,0.03832752613240418,0.03832752613240418,0.03832752613240418,0.03832752613240418,0.03832752613240418,0.010452961672473868,0.03832752613240418,0.0,0.0,0.0,0.0,0.0,0.03832752613240418,0.027874564459930314,0.0,0.0,0.03832752613240418,0.0,0.024390243902439025,0.0,0.03832752613240418,0.0,0.03832752613240418,0.0,0.0,0.020905923344947737,0.013937282229965157,0.020905923344947737,0.03832752613240418,0.0,0.03832752613240418,0.0,0.03832752613240418,0.0,0.013937282229965157,0.0,0.03832752613240418,0.0,0.0,0.03832752613240418,0.03832752613240418
