,Fp1,Fz,F3,F7,FT9,FC5,FC1,C3,T7,TP9,CP5,CP1,Pz,P3,P7,O1,Oz,O2,P4,P8,TP10,CP6,CP2,Cz,C4,T8,FT10,FC6,FC2,F4,F8,AF7,AF3,AFz,F1,F5,FT7,FC3,C1,C5,TP7,CP3,P1,PO7,PO3,POz,PO4,PO8,P6,P2,CPz,CP4,TP8,C6,C2,FC4,FT8,F6,AF8,AF4,F2,FCz
TP10,0.025295109612141653,0.0,0.04215851602023609,0.0,0.0,0.0,0.0,0.0,0.0,0.008431703204047217,0.0,0.0,0.05564924114671164,0.06408094435075885,0.0,0.0,0.047217537942664416,0.06408094435075885,0.0,0.06408094435075885,0.06745362563237774,0.0,0.0,0.0,0.0,0.0,0.048903878583473864,0.0,0.05733558178752108,0.0,0.0,0.0,0.0,0.00505902192242833,0.0,0.02023608768971332,0.0,0.0,0.06745362563237774,0.05227655986509275,0.0,0.06745362563237774,0.06070826306913996,0.0657672849915683,0.0,0.0,0.0,0.0657672849915683,0.0,0.0,0.0,0.0,0.0,0.023608768971332208,0.0,0.0,0.0,0.026981450252951095,0.0,0.0,0.0,0.0
CP6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CP2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T8,0.0,0.03818615751789976,0.0,0.0,0.0,0.0,0.041766109785202864,0.0954653937947494,0.0,0.015513126491646777,0.0,0.06205250596658711,0.0,0.0,0.0,0.029832935560859187,0.0,0.0,0.028639618138424822,0.0,0.0,0.0,0.0,0.0,0.0,0.10620525059665871,0.0,0.029832935560859187,0.0,0.0,0.0,0.034606205250596656,0.032219570405727926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07040572792362769,0.0954653937947494,0.013126491646778043,0.0,0.08472553699284009,0.026252983293556086,0.03818615751789976,0.031026252983293555,0.0,0.0,0.041766109785202864,0.0,0.0,0.0,0.0,0.05489260143198091,0.029832935560859187,0.0
FT10,0.02404809619238477,0.0,0.036072144288577156,0.0,0.0,0.0,0.0,0.0,0.0,0.012024048096192385,0.0,0.0,0.06212424849699399,0.06212424849699399,0.0,0.0,0.05811623246492986,0.06212424849699399,0.0,0.06012024048096192,0.06212424849699399,0.0,0.0,0.0,0.0,0.0,0.06012024048096192,0.0,0.06212424849699399,0.0,0.0,0.0,0.0,0.006012024048096192,0.0,0.02404809619238477,0.0,0.0,0.06212424849699399,0.05410821643286573,0.0,0.06012024048096192,0.05410821643286573,0.06212424849699399,0.0,0.0,0.0,0.056112224448897796,0.0,0.0,0.0,0.0,0.0,0.028056112224448898,0.0,0.0,0.0,0.03206412825651302,0.0,0.0,0.0,0.0
FC6,0.0,0.05647058823529412,0.0,0.0,0.0,0.0,0.05411764705882353,0.058823529411764705,0.0,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.021176470588235293,0.0,0.0,0.01647058823529412,0.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,0.05647058823529412,0.0,0.0,0.0,0.058823529411764705,0.03058823529411765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.058823529411764705,0.021176470588235293,0.0,0.058823529411764705,0.047058823529411764,0.058823529411764705,0.05647058823529412,0.0,0.0,0.05647058823529412,0.0,0.0,0.0,0.0,0.058823529411764705,0.05411764705882353,0.0
FC2,0.027124773960216998,0.0,0.04159132007233273,0.0,0.0,0.0,0.0,0.0,0.0,0.009041591320072333,0.0,0.0,0.059674502712477394,0.06329113924050633,0.0,0.0,0.05063291139240506,0.06329113924050633,0.0,0.06329113924050633,0.06329113924050633,0.0,0.0,0.0,0.0,0.0,0.05244122965641953,0.0,0.06148282097649186,0.0,0.0,0.0,0.0,0.0054249547920434,0.0,0.0216998191681736,0.0,0.0,0.06329113924050633,0.05605786618444846,0.0,0.06329113924050633,0.05786618444846293,0.06329113924050633,0.0,0.0,0.0,0.059674502712477394,0.0,0.0,0.0,0.0,0.0,0.02531645569620253,0.0,0.0,0.0,0.028933092224231464,0.0,0.0,0.0,0.0
F4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
