,Fp1,Fz,F3,F7,FT9,FC5,FC1,C3,T7,TP9,CP5,CP1,Pz,P3,P7,O1,Oz,O2,P4,P8,TP10,CP6,CP2,Cz,C4,T8,FT10,FC6,FC2,F4,F8,Fp2,AF7,AF3,AFz,F1,FT7,FC3,C1,C5,TP7,CP3,P1,P5,PO7,PO3,POz,PO4,PO8,P6,P2,CPz,CP4,TP8,C6,C2,FC4,FT8,F6,AF8,AF4,F2,FCz
F8,0.0,0.0,0.04861111111111111,0.0,0.0,0.0,0.026041666666666668,0.04861111111111111,0.0,0.026041666666666668,0.03993055555555555,0.046875,0.0,0.04861111111111111,0.0,0.04861111111111111,0.0,0.0,0.0,0.03819444444444445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046875,0.0,0.0,0.0,0.0,0.0,0.0,0.04861111111111111,0.03125,0.0,0.03819444444444445,0.0,0.04861111111111111,0.0,0.036458333333333336,0.0,0.0,0.0,0.0,0.046875,0.0,0.04861111111111111,0.036458333333333336,0.0,0.0,0.04513888888888889,0.0,0.03125,0.03819444444444445,0.0,0.03819444444444445,0.04513888888888889,0.04861111111111111
Fp2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AF7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AF3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FT7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FC3,0.0,0.0,0.05211726384364821,0.0,0.0,0.0,0.024429967426710098,0.05211726384364821,0.0,0.024429967426710098,0.04071661237785016,0.04723127035830619,0.0,0.05211726384364821,0.0,0.048859934853420196,0.0,0.0,0.0,0.035830618892508145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04560260586319218,0.0,0.0,0.0,0.0,0.0,0.0,0.050488599348534204,0.029315960912052116,0.0,0.03908794788273615,0.0,0.048859934853420196,0.0,0.03745928338762215,0.0,0.0,0.0,0.0,0.043973941368078175,0.0,0.050488599348534204,0.03420195439739414,0.0,0.0,0.04560260586319218,0.0,0.029315960912052116,0.035830618892508145,0.0,0.035830618892508145,0.04560260586319218,0.050488599348534204
C1,0.0,0.0,0.04326923076923077,0.0,0.0,0.0,0.036057692307692304,0.04326923076923077,0.0,0.026442307692307692,0.040865384615384616,0.04326923076923077,0.0,0.04326923076923077,0.0,0.04326923076923077,0.0,0.0,0.0,0.04326923076923077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04326923076923077,0.0,0.0,0.0,0.0,0.0,0.0,0.04326923076923077,0.040865384615384616,0.0,0.04326923076923077,0.0,0.04326923076923077,0.0,0.040865384615384616,0.0,0.0,0.0,0.0,0.04326923076923077,0.0,0.04326923076923077,0.038461538461538464,0.0,0.0,0.04326923076923077,0.0,0.040865384615384616,0.04326923076923077,0.0,0.04326923076923077,0.04326923076923077,0.04326923076923077
C5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TP7,0.0,0.0,0.05040322580645161,0.0,0.0,0.0,0.028225806451612902,0.05040322580645161,0.0,0.020161290322580645,0.03225806451612903,0.04032258064516129,0.0,0.05040322580645161,0.0,0.046370967741935484,0.0,0.0,0.0,0.036290322580645164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04032258064516129,0.0,0.0,0.0,0.0,0.0,0.0,0.04435483870967742,0.03225806451612903,0.0,0.05846774193548387,0.0,0.05241935483870968,0.0,0.05443548387096774,0.0,0.0,0.0,0.0,0.04032258064516129,0.0,0.05040322580645161,0.03024193548387097,0.0,0.0,0.038306451612903226,0.0,0.036290322580645164,0.036290322580645164,0.0,0.04032258064516129,0.046370967741935484,0.04435483870967742
CP3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P1,0.0,0.0,0.05149501661129568,0.0,0.0,0.0,0.024916943521594685,0.05149501661129568,0.0,0.024916943521594685,0.036544850498338874,0.04318936877076412,0.0,0.05149501661129568,0.0,0.04817275747508306,0.0,0.0,0.0,0.036544850498338874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04318936877076412,0.0,0.0,0.0,0.0,0.0,0.0,0.046511627906976744,0.029900332225913623,0.0,0.046511627906976744,0.0,0.053156146179401995,0.0,0.044850498338870434,0.0,0.0,0.0,0.0,0.04318936877076412,0.0,0.05149501661129568,0.03488372093023256,0.0,0.0,0.04152823920265781,0.0,0.029900332225913623,0.036544850498338874,0.0,0.036544850498338874,0.046511627906976744,0.046511627906976744
P5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PO7,0.0,0.0,0.050955414012738856,0.0,0.0,0.0,0.027600849256900213,0.050955414012738856,0.0,0.01910828025477707,0.03184713375796178,0.040339702760084924,0.0,0.050955414012738856,0.0,0.04670912951167728,0.0,0.0,0.0,0.036093418259023353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040339702760084924,0.0,0.0,0.0,0.0,0.0,0.0,0.044585987261146494,0.03184713375796178,0.0,0.05732484076433121,0.0,0.05307855626326964,0.0,0.055201698513800426,0.0,0.0,0.0,0.0,0.040339702760084924,0.0,0.050955414012738856,0.029723991507430998,0.0,0.0,0.03821656050955414,0.0,0.036093418259023353,0.036093418259023353,0.0,0.040339702760084924,0.04670912951167728,0.044585987261146494
