,Fz,F3,F7,FT9,FC5,FC1,C3,T7,TP9,CP5,CP1,Pz,P3,P7,O1,Oz,O2,P4,P8,TP10,CP6,CP2,Cz,C4,T8,FT10,FC6,FC2,F4,F8,AF7,AF3,AFz,F1,F5,FT7,FC3,C1,C5,TP7,CP3,P1,P5,PO7,PO3,POz,PO4,PO8,P6,CPz,CP4,TP8,C6,C2,FC4,FT8,F6,AF8,AF4,F2
CP1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.056338028169014086,0.06572769953051644,0.06103286384976526,0.0,0.06338028169014084,0.0,0.0,0.03286384976525822,0.056338028169014086,0.06103286384976526,0.04929577464788732,0.014084507042253521,0.0,0.0,0.0,0.04460093896713615,0.0,0.0,0.0,0.0,0.0,0.06103286384976526,0.0,0.0,0.06807511737089202,0.0,0.0,0.06103286384976526,0.046948356807511735,0.0,0.0,0.0,0.0,0.0,0.0,0.03755868544600939,0.0,0.046948356807511735,0.0,0.0,0.0,0.0,0.0,0.0,0.04460093896713615,0.06572769953051644,0.0,0.0,0.0,0.06338028169014084,0.0
Pz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05822784810126582,0.06329113924050633,0.06329113924050633,0.0,0.060759493670886074,0.0,0.0,0.027848101265822784,0.053164556962025315,0.060759493670886074,0.053164556962025315,0.015189873417721518,0.0,0.0,0.0,0.04810126582278481,0.0,0.0,0.0,0.0,0.0,0.05822784810126582,0.0,0.0,0.06582278481012659,0.0,0.0,0.05822784810126582,0.05063291139240506,0.0,0.0,0.0,0.0,0.0,0.0,0.04050632911392405,0.0,0.05063291139240506,0.0,0.0,0.0,0.0,0.0,0.0,0.04810126582278481,0.06329113924050633,0.0,0.0,0.0,0.060759493670886074,0.0
P3,0.0,0.03728813559322034,0.0,0.0,0.04406779661016949,0.020338983050847456,0.04067796610169491,0.0,0.02711864406779661,0.0,0.0,0.0,0.04067796610169491,0.0,0.023728813559322035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04067796610169491,0.04067796610169491,0.0,0.04406779661016949,0.0,0.01694915254237288,0.03389830508474576,0.03728813559322034,0.0,0.0,0.0,0.0,0.0,0.03728813559322034,0.0,0.0,0.04406779661016949,0.0,0.03728813559322034,0.023728813559322035,0.03728813559322034,0.04067796610169491,0.0,0.04067796610169491,0.0,0.03389830508474576,0.03389830508474576,0.04406779661016949,0.02711864406779661,0.04406779661016949,0.04406779661016949,0.0,0.0,0.03389830508474576,0.0,0.030508474576271188,0.0,0.0
P7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0547945205479452,0.06621004566210045,0.0593607305936073,0.0,0.06621004566210045,0.0,0.0,0.0365296803652968,0.0593607305936073,0.0593607305936073,0.04794520547945205,0.0136986301369863,0.0,0.0,0.0,0.0410958904109589,0.0,0.0,0.0,0.0,0.0,0.0639269406392694,0.0,0.0,0.0639269406392694,0.0,0.0,0.06164383561643835,0.045662100456621,0.0,0.0,0.0,0.0,0.0,0.0,0.0365296803652968,0.0,0.045662100456621,0.0,0.0,0.0,0.0,0.0,0.0,0.04337899543378995,0.0684931506849315,0.0,0.0,0.0,0.06621004566210045,0.0
O1,0.0,0.03686635944700461,0.0,0.0,0.03686635944700461,0.027649769585253458,0.03686635944700461,0.0,0.03686635944700461,0.0,0.0,0.0,0.03686635944700461,0.0,0.03225806451612903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03686635944700461,0.03686635944700461,0.0,0.03686635944700461,0.0,0.02304147465437788,0.03686635944700461,0.03686635944700461,0.0,0.0,0.0,0.0,0.0,0.03686635944700461,0.0,0.0,0.03686635944700461,0.0,0.03686635944700461,0.03225806451612903,0.03686635944700461,0.03686635944700461,0.0,0.03686635944700461,0.0,0.03686635944700461,0.03686635944700461,0.03686635944700461,0.03686635944700461,0.03686635944700461,0.03686635944700461,0.0,0.0,0.03686635944700461,0.0,0.03686635944700461,0.0,0.0
Oz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05485232067510549,0.06751054852320675,0.05485232067510549,0.0,0.07172995780590717,0.0,0.0,0.06751054852320675,0.07172995780590717,0.05907172995780591,0.046413502109704644,0.008438818565400843,0.0,0.0,0.0,0.02109704641350211,0.0,0.0,0.0,0.0,0.0,0.07172995780590717,0.0,0.0,0.06329113924050633,0.0,0.0,0.06751054852320675,0.04219409282700422,0.0,0.0,0.0,0.0,0.0,0.0,0.02109704641350211,0.0,0.03375527426160337,0.0,0.0,0.0,0.0,0.0,0.0,0.03375527426160337,0.07172995780590717,0.0,0.0,0.0,0.07172995780590717,0.0
P4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05693069306930693,0.06435643564356436,0.05693069306930693,0.0,0.06435643564356436,0.0,0.0,0.03712871287128713,0.06188118811881188,0.0594059405940594,0.05198019801980198,0.01485148514851485,0.0,0.0,0.0,0.03712871287128713,0.0,0.0,0.0,0.0,0.0,0.06435643564356436,0.0,0.0,0.06188118811881188,0.0,0.0,0.06435643564356436,0.04950495049504951,0.0,0.0,0.0,0.0,0.0,0.0,0.03712871287128713,0.0,0.04455445544554455,0.0,0.0,0.0,0.0,0.0,0.0,0.04455445544554455,0.06435643564356436,0.0,0.0,0.0,0.06435643564356436,0.0
P8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05925925925925926,0.06419753086419754,0.06419753086419754,0.0,0.06172839506172839,0.0,0.0,0.02962962962962963,0.05432098765432099,0.06172839506172839,0.05185185185185185,0.014814814814814815,0.0,0.0,0.0,0.044444444444444446,0.0,0.0,0.0,0.0,0.0,0.05925925925925926,0.0,0.0,0.06419753086419754,0.0,0.0,0.05925925925925926,0.04938271604938271,0.0,0.0,0.0,0.0,0.0,0.0,0.03950617283950617,0.0,0.04938271604938271,0.0,0.0,0.0,0.0,0.0,0.0,0.04691358024691358,0.06419753086419754,0.0,0.0,0.0,0.06172839506172839,0.0
TP10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.059322033898305086,0.059322033898305086,0.059322033898305086,0.0,0.059322033898305086,0.0,0.0,0.025423728813559324,0.05367231638418079,0.059322033898305086,0.05649717514124294,0.01694915254237288,0.0,0.0,0.0,0.04519774011299435,0.0,0.0,0.0,0.0,0.0,0.059322033898305086,0.0,0.0,0.059322033898305086,0.0,0.0,0.059322033898305086,0.05649717514124294,0.0,0.0,0.0,0.0,0.0,0.0,0.04519774011299435,0.0,0.05367231638418079,0.0,0.0,0.0,0.0,0.0,0.0,0.05367231638418079,0.059322033898305086,0.0,0.0,0.0,0.059322033898305086,0.0
