,Fp1,Fz,F3,F7,FT9,FC5,FC1,C3,T7,TP9,CP5,CP1,Pz,P7,O1,Oz,O2,P4,CP6,CP2,Cz,C4,T8,FT10,FC6,FC2,F4,Fp2,AF7,AF3,AFz,F1,F5,FT7,FC3,C1,C5,TP7,CP3,P1,P5,PO7,PO3,POz,PO4,PO8,P6,P2,CPz,CP4,TP8,C6,C2,FC4,FT8,AF8,AF4,F2,FCz
CP5,0.006259780907668232,0.0297339593114241,0.054773082942097026,0.0,0.02269170579029734,0.0,0.033646322378716745,0.010172143974960876,0.03129890453834116,0.0,0.08450704225352113,0.050078247261345854,0.0,0.0,0.0,0.0,0.0,0.0,0.028951486697965573,0.0,0.02190923317683881,0.0,0.028951486697965573,0.0,0.025821596244131457,0.0,0.027386541471048513,0.0,0.0,0.0,0.0,0.0,0.06885758998435054,0.041471048513302036,0.04773082942097027,0.0,0.07589984350547731,0.0,0.0,0.009389671361502348,0.0,0.0,0.0,0.025039123630672927,0.0,0.012519561815336464,0.019561815336463225,0.0539906103286385,0.0,0.027386541471048513,0.0,0.06259780907668232,0.03599374021909233,0.013302034428794992,0.024256651017214397,0.025821596244131457,0.0,0.0,0.0
CP1,0.006896551724137931,0.032758620689655175,0.054310344827586204,0.0,0.025,0.0,0.03793103448275862,0.011206896551724138,0.034482758620689655,0.0,0.056896551724137934,0.05517241379310345,0.0,0.0,0.0,0.0,0.0,0.0,0.032758620689655175,0.0,0.02413793103448276,0.0,0.03189655172413793,0.0,0.026724137931034484,0.0,0.03103448275862069,0.0,0.0,0.0,0.0,0.0,0.056896551724137934,0.04655172413793104,0.05344827586206897,0.0,0.056896551724137934,0.0,0.0,0.010344827586206896,0.0,0.0,0.0,0.027586206896551724,0.0,0.013793103448275862,0.021551724137931036,0.056896551724137934,0.0,0.03017241379310345,0.0,0.056896551724137934,0.03620689655172414,0.014655172413793103,0.027586206896551724,0.029310344827586206,0.0,0.0,0.0
Pz,0.0,0.0,0.0,0.0,0.0,0.05909797822706065,0.0,0.0,0.0,0.05909797822706065,0.0,0.0,0.05754276827371695,0.05909797822706065,0.0,0.0,0.049766718506998445,0.0,0.0,0.05909797822706065,0.0,0.05909797822706065,0.0,0.038880248833592534,0.0,0.0,0.0,0.04821150855365474,0.04665629860031104,0.0,0.05287713841368585,0.041990668740279936,0.0,0.0,0.0,0.05909797822706065,0.0,0.05443234836702955,0.05909797822706065,0.0,0.0,0.02332814930015552,0.05598755832037325,0.0,0.012441679626749611,0.0,0.0,0.0,0.0,0.0,0.05287713841368585,0.0,0.0,0.0,0.0,0.0,0.0,0.05132192846034215,0.0
P7,0.0,0.0,0.0,0.0,0.0,0.06886657101865136,0.0,0.0,0.0,0.06312769010043041,0.0,0.0,0.054519368723098996,0.0703012912482066,0.0,0.0,0.04591104734576758,0.0,0.0,0.05738880918220947,0.0,0.05738880918220947,0.0,0.03873744619799139,0.0,0.0,0.0,0.04591104734576758,0.04591104734576758,0.0,0.05021520803443329,0.040172166427546625,0.0,0.0,0.0,0.05595408895265423,0.0,0.05164992826398852,0.06599713055954089,0.0,0.0,0.021520803443328552,0.05308464849354376,0.0,0.011477761836441894,0.0,0.0,0.0,0.0,0.0,0.05164992826398852,0.0,0.0,0.0,0.0,0.0,0.0,0.05021520803443329,0.0
O1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O2,0.0,0.0,0.0,0.0,0.0,0.0564373897707231,0.0,0.0,0.0,0.0564373897707231,0.0,0.0,0.0564373897707231,0.0564373897707231,0.0,0.0,0.054673721340388004,0.0,0.0,0.0564373897707231,0.0,0.0564373897707231,0.0,0.03880070546737213,0.0,0.0,0.0,0.04938271604938271,0.047619047619047616,0.0,0.054673721340388004,0.042328042328042326,0.0,0.0,0.0,0.0564373897707231,0.0,0.0564373897707231,0.0564373897707231,0.0,0.0,0.026455026455026454,0.0564373897707231,0.0,0.014109347442680775,0.0,0.0,0.0,0.0,0.0,0.054673721340388004,0.0,0.0,0.0,0.0,0.0,0.0,0.05291005291005291,0.0
P4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CP6,0.008830022075055188,0.03863134657836645,0.04083885209713024,0.0,0.03200883002207505,0.0,0.04304635761589404,0.01434878587196468,0.04194260485651214,0.0,0.04304635761589404,0.04304635761589404,0.0,0.0,0.0,0.0,0.0,0.0,0.04194260485651214,0.0,0.03090507726269316,0.0,0.03863134657836645,0.0,0.03090507726269316,0.0,0.039735099337748346,0.0,0.0,0.0,0.0,0.0,0.04304635761589404,0.04304635761589404,0.04304635761589404,0.0,0.04304635761589404,0.0,0.0,0.009933774834437087,0.0,0.0,0.0,0.03532008830022075,0.0,0.017660044150110375,0.025386313465783666,0.04304635761589404,0.0,0.03863134657836645,0.0,0.04304635761589404,0.03532008830022075,0.018763796909492272,0.03532008830022075,0.037527593818984545,0.0,0.0,0.0
CP2,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.06033182503770739,0.0,0.0,0.05731523378582202,0.06033182503770739,0.0,0.0,0.048265460030165915,0.0,0.0,0.058823529411764705,0.0,0.058823529411764705,0.0,0.0392156862745098,0.0,0.0,0.0,0.048265460030165915,0.04675716440422323,0.0,0.05279034690799397,0.042232277526395176,0.0,0.0,0.0,0.058823529411764705,0.0,0.05429864253393665,0.06033182503770739,0.0,0.0,0.02262443438914027,0.05580693815987934,0.0,0.012066365007541479,0.0,0.0,0.0,0.0,0.0,0.05279034690799397,0.0,0.0,0.0,0.0,0.0,0.0,0.05128205128205128,0.0
