,Fz,F3,F7,FT9,FC5,FC1,C3,CP5,CP1,Pz,P7,O1,Oz,O2,P4,P8,TP10,CP6,CP2,Cz,C4,T8,FT10,FC6,FC2,F4,F8,Fp2,AF7,AF3,AFz,F1,F5,FT7,FC3,C1,C5,CP3,P1,P5,PO7,PO3,POz,PO4,PO8,P6,P2,CPz,CP4,TP8,C6,C2,FC4,FT8,F6,AF8,AF4,F2,FCz
C4,0.0,0.02040816326530612,0.02040816326530612,0.02040816326530612,0.0,0.02040816326530612,0.02040816326530612,0.02040816326530612,0.02040816326530612,0.02040816326530612,0.0,0.02040816326530612,0.013605442176870748,0.02040816326530612,0.02040816326530612,0.02040816326530612,0.0,0.02040816326530612,0.02040816326530612,0.02040816326530612,0.013605442176870748,0.02040816326530612,0.0,0.02040816326530612,0.02040816326530612,0.02040816326530612,0.02040816326530612,0.02040816326530612,0.02040816326530612,0.02040816326530612,0.02040816326530612,0.02040816326530612,0.02040816326530612,0.02040816326530612,0.02040816326530612,0.02040816326530612,0.02040816326530612,0.013605442176870748,0.02040816326530612,0.02040816326530612,0.02040816326530612,0.02040816326530612,0.02040816326530612,0.02040816326530612,0.0,0.0,0.02040816326530612,0.02040816326530612,0.02040816326530612,0.0,0.02040816326530612,0.02040816326530612,0.02040816326530612,0.02040816326530612,0.02040816326530612,0.02040816326530612,0.0,0.02040816326530612,0.02040816326530612
T8,0.0,0.024336283185840708,0.00663716814159292,0.024336283185840708,0.0,0.024336283185840708,0.024336283185840708,0.024336283185840708,0.024336283185840708,0.024336283185840708,0.0,0.024336283185840708,0.004424778761061947,0.024336283185840708,0.024336283185840708,0.01991150442477876,0.0,0.024336283185840708,0.024336283185840708,0.00663716814159292,0.004424778761061947,0.01991150442477876,0.0,0.015486725663716814,0.017699115044247787,0.00663716814159292,0.024336283185840708,0.024336283185840708,0.008849557522123894,0.024336283185840708,0.024336283185840708,0.024336283185840708,0.024336283185840708,0.017699115044247787,0.024336283185840708,0.008849557522123894,0.024336283185840708,0.004424778761061947,0.024336283185840708,0.024336283185840708,0.024336283185840708,0.024336283185840708,0.024336283185840708,0.024336283185840708,0.0,0.0,0.00663716814159292,0.024336283185840708,0.022123893805309734,0.0,0.01991150442477876,0.024336283185840708,0.024336283185840708,0.024336283185840708,0.008849557522123894,0.024336283185840708,0.0,0.022123893805309734,0.024336283185840708
FT10,0.0,0.0,0.0,0.0,0.07058823529411765,0.0,0.0,0.0,0.0,0.0,0.23529411764705882,0.0,0.0,0.0,0.0,0.0,0.10588235294117647,0.0,0.0,0.0,0.0,0.0,0.27058823529411763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10588235294117647,0.10588235294117647,0.0,0.0,0.0,0.10588235294117647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FC6,0.0,0.023391812865497075,0.008771929824561403,0.023391812865497075,0.0,0.023391812865497075,0.023391812865497075,0.023391812865497075,0.023391812865497075,0.023391812865497075,0.0,0.023391812865497075,0.005847953216374269,0.023391812865497075,0.023391812865497075,0.02046783625730994,0.0,0.023391812865497075,0.023391812865497075,0.008771929824561403,0.005847953216374269,0.02046783625730994,0.0,0.017543859649122806,0.02046783625730994,0.008771929824561403,0.023391812865497075,0.023391812865497075,0.011695906432748537,0.023391812865497075,0.023391812865497075,0.023391812865497075,0.023391812865497075,0.02046783625730994,0.023391812865497075,0.011695906432748537,0.023391812865497075,0.005847953216374269,0.023391812865497075,0.023391812865497075,0.023391812865497075,0.023391812865497075,0.023391812865497075,0.023391812865497075,0.0,0.0,0.008771929824561403,0.023391812865497075,0.02046783625730994,0.0,0.02046783625730994,0.023391812865497075,0.023391812865497075,0.023391812865497075,0.011695906432748537,0.023391812865497075,0.0,0.023391812865497075,0.023391812865497075
FC2,0.0,0.024,0.008,0.024,0.0,0.024,0.024,0.024,0.024,0.024,0.0,0.024,0.005333333333333333,0.024,0.024,0.018666666666666668,0.0,0.024,0.024,0.008,0.005333333333333333,0.018666666666666668,0.0,0.016,0.018666666666666668,0.008,0.024,0.024,0.010666666666666666,0.024,0.024,0.024,0.024,0.018666666666666668,0.024,0.010666666666666666,0.024,0.005333333333333333,0.024,0.024,0.024,0.024,0.024,0.024,0.0,0.0,0.008,0.024,0.021333333333333333,0.0,0.018666666666666668,0.024,0.024,0.024,0.010666666666666666,0.024,0.0,0.021333333333333333,0.024
F4,0.0,0.021052631578947368,0.015789473684210527,0.021052631578947368,0.0,0.021052631578947368,0.021052631578947368,0.021052631578947368,0.021052631578947368,0.021052631578947368,0.0,0.021052631578947368,0.010526315789473684,0.021052631578947368,0.021052631578947368,0.021052631578947368,0.0,0.021052631578947368,0.021052631578947368,0.015789473684210527,0.010526315789473684,0.021052631578947368,0.0,0.021052631578947368,0.021052631578947368,0.015789473684210527,0.021052631578947368,0.021052631578947368,0.021052631578947368,0.021052631578947368,0.021052631578947368,0.021052631578947368,0.021052631578947368,0.021052631578947368,0.021052631578947368,0.021052631578947368,0.021052631578947368,0.010526315789473684,0.021052631578947368,0.021052631578947368,0.021052631578947368,0.021052631578947368,0.021052631578947368,0.021052631578947368,0.0,0.0,0.015789473684210527,0.021052631578947368,0.021052631578947368,0.0,0.021052631578947368,0.021052631578947368,0.021052631578947368,0.021052631578947368,0.021052631578947368,0.021052631578947368,0.0,0.021052631578947368,0.021052631578947368
F8,0.0,0.027522935779816515,0.003931847968545216,0.01703800786369594,0.0,0.01834862385321101,0.01703800786369594,0.03014416775884666,0.01834862385321101,0.027522935779816515,0.0,0.03014416775884666,0.002621231979030144,0.03014416775884666,0.03014416775884666,0.015727391874180863,0.0,0.03014416775884666,0.020969855832241154,0.003931847968545216,0.002621231979030144,0.01310615989515072,0.0,0.009174311926605505,0.010484927916120577,0.003931847968545216,0.027522935779816515,0.019659239842726082,0.005242463958060288,0.03014416775884666,0.03014416775884666,0.01834862385321101,0.03014416775884666,0.010484927916120577,0.03145478374836173,0.005242463958060288,0.028833551769331587,0.002621231979030144,0.03014416775884666,0.03014416775884666,0.03014416775884666,0.03014416775884666,0.03014416775884666,0.03014416775884666,0.0,0.0,0.003931847968545216,0.03014416775884666,0.015727391874180863,0.0,0.01310615989515072,0.019659239842726082,0.02490170380078637,0.03145478374836173,0.005242463958060288,0.03145478374836173,0.0,0.014416775884665793,0.02621231979030144
Fp2,0.0,0.024390243902439025,0.005226480836236934,0.02264808362369338,0.0,0.02264808362369338,0.02264808362369338,0.02613240418118467,0.02264808362369338,0.024390243902439025,0.0,0.02613240418118467,0.003484320557491289,0.02613240418118467,0.02613240418118467,0.020905923344947737,0.0,0.02613240418118467,0.024390243902439025,0.005226480836236934,0.003484320557491289,0.017421602787456445,0.0,0.012195121951219513,0.013937282229965157,0.005226480836236934,0.024390243902439025,0.024390243902439025,0.006968641114982578,0.02613240418118467,0.02613240418118467,0.024390243902439025,0.02613240418118467,0.013937282229965157,0.027874564459930314,0.006968641114982578,0.02613240418118467,0.003484320557491289,0.02613240418118467,0.02613240418118467,0.02613240418118467,0.02613240418118467,0.02613240418118467,0.02613240418118467,0.0,0.0,0.005226480836236934,0.02613240418118467,0.020905923344947737,0.0,0.017421602787456445,0.024390243902439025,0.024390243902439025,0.027874564459930314,0.006968641114982578,0.027874564459930314,0.0,0.01916376306620209,0.024390243902439025
AF7,0.0,0.022321428571428572,0.013392857142857142,0.022321428571428572,0.0,0.022321428571428572,0.022321428571428572,0.022321428571428572,0.022321428571428572,0.022321428571428572,0.0,0.022321428571428572,0.008928571428571428,0.022321428571428572,0.022321428571428572,0.022321428571428572,0.0,0.022321428571428572,0.022321428571428572,0.013392857142857142,0.008928571428571428,0.017857142857142856,0.0,0.017857142857142856,0.017857142857142856,0.013392857142857142,0.022321428571428572,0.022321428571428572,0.017857142857142856,0.022321428571428572,0.022321428571428572,0.022321428571428572,0.022321428571428572,0.017857142857142856,0.022321428571428572,0.017857142857142856,0.022321428571428572,0.008928571428571428,0.022321428571428572,0.022321428571428572,0.022321428571428572,0.022321428571428572,0.022321428571428572,0.022321428571428572,0.0,0.0,0.013392857142857142,0.022321428571428572,0.017857142857142856,0.0,0.017857142857142856,0.022321428571428572,0.022321428571428572,0.022321428571428572,0.017857142857142856,0.022321428571428572,0.0,0.022321428571428572,0.022321428571428572
AF3,0.0,0.0275,0.00375,0.01625,0.0,0.0175,0.01625,0.03125,0.0175,0.0275,0.0,0.03,0.0025,0.03125,0.03,0.015,0.0,0.03125,0.02,0.00375,0.0025,0.0125,0.0,0.00875,0.01,0.00375,0.0275,0.01875,0.005,0.03,0.03125,0.0175,0.03,0.01,0.0325,0.005,0.02875,0.0025,0.03,0.03125,0.03125,0.03125,0.03125,0.03125,0.0,0.0,0.00375,0.03125,0.015,0.0,0.0125,0.02,0.025,0.0325,0.005,0.0325,0.0,0.01375,0.025
