,Fp1,Fz,F3,FT9,FC5,FC1,C3,T7,TP9,CP5,CP1,Pz,P3,P7,O1,Oz,O2,P8,TP10,CP6,CP2,Cz,C4,T8,FT10,FC6,FC2,F4,F8,Fp2,AF7,AF3,AFz,F1,FT7,FC3,C1,TP7,CP3,P1,P5,PO7,PO3,POz,PO4,PO8,P6,P2,CPz,CP4,TP8,C6,C2,FC4,FT8,F6,AF8,AF4,FCz
Pz,0.0,0.047619047619047616,0.0,0.07335907335907337,0.0,0.0,0.0,0.0,0.0,0.02681992337164751,0.18869731800766285,0.38027929407239747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01705276705276705,0.0,0.0,0.0,0.0546975546975547,0.0,0.0,0.07303732303732303,0.0,0.03065134099616858,0.0,0.0,0.0,0.005148005148005148,0.0,0.0032175032175032173,0.0019305019305019305,0.0,0.0,0.0,0.008687258687258687,0.0,0.0,0.0,0.0,0.02541827541827542,0.0,0.0,0.0,0.0,0.06338481338481339,0.0
P3,0.0,0.0,0.0,0.0,0.04697624190064795,0.0,0.026187904967602593,0.03347732181425486,0.0,0.0004921259842519685,0.0359251968503937,0.0,0.2711709834866754,0.04400647948164147,0.0,0.05561023622047244,0.04400647948164147,0.0,0.001968503937007874,0.0,0.0,0.011609071274298057,0.042116630669546434,0.0018898488120950325,0.008099352051835854,0.0,0.0,0.021161417322834646,0.03050755939524838,0.0,0.0,0.0,0.0091792656587473,0.0,0.0,0.04822834645669291,0.04822834645669291,0.0,0.0,0.0,0.0,0.030019685039370077,0.0,0.0,0.06938976377952756,0.0,0.0,0.0,0.0,0.0,0.049998086767231845,0.007874015748031496,0.0,0.0,0.0,0.030019685039370077,0.003779697624190065,0.0,0.028077753779697623
P7,0.0,0.0,0.01292517006802721,0.0,0.13764633760480938,0.0,0.02638625217528872,0.07653061224489796,0.007475083056478406,0.03537414965986395,0.0,0.0,0.03384551495016611,0.21093379212149976,0.0,0.0,0.025124584717607975,0.0,0.0,0.0,0.0,0.00020764119601328904,0.0,0.03163265306122449,0.03446843853820598,0.01308139534883721,0.0,0.0,0.051287375415282395,0.036734693877551024,0.0,0.0,0.08812885619364025,0.0,0.0,0.0,0.0,0.0,0.029069767441860465,0.0,0.024709302325581394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006644518272425249,0.0,0.0,0.0,0.0,0.0,0.08647365923113431,0.0,0.03132020249960449
O1,0.0,0.0458970792767733,0.0,0.050764951321279554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4152908982533461,0.0,0.0,0.0,0.05389429763560501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025382475660639777,0.0,0.0,0.025034770514603615,0.01634214186369958,0.0,0.0,0.030250347705146036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28811661217780826,0.0,0.01634214186369958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01634214186369958,0.0,0.0,0.0,0.0,0.01634214186369958,0.0
Oz,0.0,0.04537953795379538,0.11138613861386139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036827195467422094,0.0,0.08073654390934844,0.0,0.0,0.2537093652708047,0.0008250825082508251,0.0,0.0,0.0,0.0,0.038778877887788776,0.0,0.0,0.07178217821782178,0.0,0.05363036303630363,0.0,0.0,0.0,0.013201320132013201,0.0,0.0,0.0,0.0,0.06657223796033994,0.06940509915014165,0.0,0.0,0.0,0.012376237623762377,0.0,0.0,0.0,0.08156162641759926,0.0,0.0,0.018976897689768978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04320113314447592,0.0,0.0016501650165016502,0.0
O2,0.0,0.0,0.0,0.0,0.04423791821561338,0.0,0.04684014869888476,0.0,0.0,0.0,0.0,0.0,0.05985130111524164,0.04423791821561338,0.0,0.0,0.34427418623628614,0.0,0.0,0.0,0.0,0.026765799256505577,0.0,0.013382899628252789,0.0026022304832713753,0.0,0.0,0.0,0.05278810408921933,0.0,0.0,0.0,0.02342007434944238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25609756097560976,0.0,0.0,0.030111524163568774,0.0,0.0,0.0,0.0,0.0,0.03828996282527881,0.0,0.0,0.0,0.0,0.0,0.015985130111524165,0.0,0.0011152416356877324
P8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04144620811287478,0.0,0.0,0.008818342151675485,0.0,0.0,0.0,0.0,0.0,0.0,0.31028426768127143,0.0,0.0,0.0,0.0,0.0,0.0,0.0855379188712522,0.0,0.0,0.0,0.06966490299823633,0.0,0.14325842696629212,0.021164021164021163,0.0,0.0,0.0,0.10674157303370786,0.0,0.0,0.0,0.0,0.0,0.04938271604938271,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10252808988764045,0.0,0.0,0.0056179775280898875
TP10,0.0,0.060820895522388056,0.0,0.07798507462686567,0.0,0.0,0.0,0.0,0.0,0.04795821462488129,0.0,0.0,0.001119402985074627,0.0,0.058208955223880594,0.0,0.0,0.0,0.2523192442346671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1315289648622982,0.014552238805970149,0.0,0.006172839506172839,0.029477611940298507,0.07044655639183002,0.0,0.03798670465337132,0.0,0.0,0.0,0.06173122989043387,0.06417910447761194,0.0,0.014552238805970149,0.0194681861348528,0.0,0.0,0.0,0.0,0.0,0.0,0.014552238805970149,0.0,0.0,0.0,0.0,0.036940298507462686,0.0
CP6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03525913338997451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3903601266334911,0.0,0.0,0.0,0.10416666666666667,0.0,0.17113095238095238,0.0,0.001488095238095238,0.0,0.0,0.001488095238095238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03313508920985556,0.0,0.0,0.0,0.06287170773152082,0.0,0.0,0.0,0.0,0.0,0.0,0.022090059473237042,0.0,0.0,0.12193530768297123,0.056074766355140186,0.0,0.0,0.0,0.0,0.0
CP2,0.0,0.07182576459684893,0.07182576459684893,0.0,0.0,0.056997219647822055,0.04865616311399444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07136237256719184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06811862835959222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05468025949953661,0.0,0.056533827618164965,0.0
