,Fz,F3,FT9,FC5,FC1,C3,T7,TP9,CP5,CP1,Pz,P3,P7,O1,Oz,O2,P4,P8,TP10,CP6,CP2,Cz,C4,T8,FT10,FC6,FC2,F4,F8,AF7,AF3,AFz,F1,FT7,FC3,C1,C5,TP7,CP3,P1,P5,PO7,PO3,POz,PO4,PO8,P6,P2,CPz,CP4,TP8,C6,C2,FC4,FT8,F6,AF8,AF4,F2,FCz
CP2,0.0,0.0,0.0024174053182917004,0.0,0.0,0.0,0.0346494762288477,0.0,0.0499597099113618,0.0362610797743755,0.0531829170024174,0.0,0.0427074939564867,0.0,0.0008058017727639,0.032232070910556,0.020145044319097503,0.0257856567284448,0.0,0.0443190975020145,0.057211925866236905,0.0,0.0008058017727639,0.0,0.0032232070910556,0.021756647864625302,0.021756647864625302,0.0,0.0,0.018533440773569703,0.0273972602739726,0.043513295729250605,0.0515713134568896,0.043513295729250605,0.0499597099113618,0.048348106365834004,0.0,0.0,0.0,0.0,0.0,0.0,0.0249798549556809,0.021756647864625302,0.038678485092667206,0.0,0.0008058017727639,0.0,0.0,0.019339242546333603,0.0,0.004834810636583401,0.020145044319097503,0.0,0.019339242546333603,0.0032232070910556,0.04915390813859791,0.015310233682514102,0.0040290088638195,0.048348106365834004
Cz,0.03939393939393939,0.04141414141414142,0.03838383838383838,0.04242424242424243,0.04040404040404041,0.03838383838383838,0.0,0.007070707070707071,0.0,0.00101010101010101,0.0,0.04242424242424243,0.0,0.04242424242424243,0.04141414141414142,0.005050505050505051,0.0,0.0,0.022222222222222223,0.0,0.0,0.04040404040404041,0.04040404040404041,0.0,0.03333333333333333,0.0,0.0,0.026262626262626262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04040404040404041,0.04141414141414142,0.0,0.03737373737373737,0.04040404040404041,0.04242424242424243,0.0,0.0,0.0,0.04242424242424243,0.03535353535353535,0.00202020202020202,0.04141414141414142,0.0,0.04141414141414142,0.010101010101010102,0.0,0.029292929292929294,0.0,0.03636363636363636,0.0,0.00202020202020202,0.015151515151515152,0.0
C4,0.03386641580432737,0.036688617121354655,0.04421448730009407,0.03951081843838194,0.034807149576669805,0.03292568203198495,0.0009407337723424271,0.00658513640639699,0.0028222013170272815,0.005644402634054563,0.0028222013170272815,0.03857008466603951,0.004703668861712135,0.036688617121354655,0.04421448730009407,0.00940733772342427,0.0,0.004703668861712135,0.022577610536218252,0.0028222013170272815,0.0028222013170272815,0.034807149576669805,0.043273753527751646,0.0,0.03857008466603951,0.0,0.0,0.021636876763875823,0.0,0.0028222013170272815,0.0018814675446848542,0.0,0.0028222013170272815,0.0,0.004703668861712135,0.0037629350893697085,0.03951081843838194,0.036688617121354655,0.0,0.03198494825964252,0.03574788334901223,0.03857008466603951,0.0,0.0,0.0,0.041392285983066796,0.036688617121354655,0.0018814675446848542,0.03762935089369708,0.0,0.036688617121354655,0.00658513640639699,0.0,0.027281279397930385,0.0,0.04233301975540922,0.0,0.00658513640639699,0.01881467544684854,0.0
T8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FT10,0.03005181347150259,0.03316062176165803,0.043523316062176166,0.03626943005181347,0.031088082901554404,0.029015544041450778,0.004145077720207254,0.007253886010362694,0.0062176165803108805,0.00932642487046632,0.0062176165803108805,0.035233160621761656,0.008290155440414507,0.03316062176165803,0.04145077720207254,0.013471502590673576,0.0,0.008290155440414507,0.024870466321243522,0.0062176165803108805,0.0062176165803108805,0.031088082901554404,0.04041450777202073,0.0,0.043523316062176166,0.0,0.0,0.016580310880829015,0.0,0.0062176165803108805,0.0051813471502590676,0.0,0.0062176165803108805,0.0010362694300518134,0.008290155440414507,0.007253886010362694,0.03626943005181347,0.03316062176165803,0.0,0.027979274611398965,0.03212435233160622,0.035233160621761656,0.0010362694300518134,0.0,0.0,0.0383419689119171,0.03626943005181347,0.002072538860103627,0.03419689119170984,0.0,0.03316062176165803,0.004145077720207254,0.0,0.025906735751295335,0.0,0.04455958549222798,0.0010362694300518134,0.010362694300518135,0.02383419689119171,0.0010362694300518134
FC6,0.0,0.0,0.0,0.0,0.0,0.0,0.03901734104046243,0.0,0.03901734104046243,0.036127167630057806,0.03901734104046243,0.0,0.03901734104046243,0.0,0.0,0.028901734104046242,0.030346820809248554,0.036127167630057806,0.0,0.03901734104046243,0.03901734104046243,0.0,0.0,0.0,0.0,0.03757225433526012,0.031791907514450865,0.0,0.0,0.023121387283236993,0.03901734104046243,0.03757225433526012,0.03901734104046243,0.03901734104046243,0.03901734104046243,0.03901734104046243,0.0,0.0,0.0,0.0,0.0,0.0,0.03901734104046243,0.03901734104046243,0.03757225433526012,0.0,0.0,0.0,0.0,0.033236994219653176,0.0,0.001445086705202312,0.036127167630057806,0.0,0.02745664739884393,0.0,0.03901734104046243,0.017341040462427744,0.0,0.03901734104046243
FC2,0.0,0.0,0.0,0.0,0.0,0.0,0.03577235772357724,0.0,0.03902439024390244,0.030894308943089432,0.04065040650406504,0.0,0.03414634146341464,0.0,0.0,0.022764227642276424,0.04065040650406504,0.030894308943089432,0.0,0.03577235772357724,0.04065040650406504,0.0,0.0,0.0,0.0,0.032520325203252036,0.04227642276422764,0.0,0.0,0.016260162601626018,0.03414634146341464,0.04390243902439024,0.03902439024390244,0.04065040650406504,0.03739837398373984,0.03739837398373984,0.0,0.0,0.0,0.0,0.0,0.0,0.03577235772357724,0.03414634146341464,0.04227642276422764,0.0,0.0,0.0,0.0,0.03577235772357724,0.0,0.011382113821138212,0.030894308943089432,0.0,0.04065040650406504,0.0,0.04227642276422764,0.00975609756097561,0.0,0.04227642276422764
F4,0.04105571847507331,0.04105571847507331,0.03519061583577713,0.04105571847507331,0.04105571847507331,0.04105571847507331,0.0,0.010263929618768328,0.0,0.0,0.0,0.04105571847507331,0.0,0.04105571847507331,0.039589442815249266,0.001466275659824047,0.0,0.0,0.024926686217008796,0.0,0.0,0.04105571847507331,0.03812316715542522,0.0,0.02785923753665689,0.0,0.0,0.03812316715542522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03812316715542522,0.04105571847507331,0.0,0.04105571847507331,0.04105571847507331,0.04105571847507331,0.0,0.0,0.0,0.04105571847507331,0.03225806451612903,0.002932551319648094,0.04105571847507331,0.0,0.04105571847507331,0.01466275659824047,0.0,0.03225806451612903,0.0,0.03225806451612903,0.0,0.0,0.016129032258064516,0.0
F8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AF7,0.0,0.0,0.0051635111876075735,0.0,0.0,0.0,0.039586919104991396,0.0,0.04130808950086059,0.04130808950086059,0.04130808950086059,0.0,0.04130808950086059,0.0,0.0017211703958691911,0.04130808950086059,0.0189328743545611,0.04130808950086059,0.0,0.04130808950086059,0.04130808950086059,0.0,0.0017211703958691911,0.0,0.0068846815834767644,0.03098106712564544,0.020654044750430294,0.0,0.0,0.039586919104991396,0.04130808950086059,0.027538726333907058,0.04130808950086059,0.03442340791738382,0.04130808950086059,0.04130808950086059,0.0,0.0,0.0,0.0,0.0,0.0,0.03442340791738382,0.029259896729776247,0.027538726333907058,0.0,0.0017211703958691911,0.0,0.0,0.022375215146299483,0.0,0.0,0.029259896729776247,0.0,0.01549053356282272,0.0068846815834767644,0.03442340791738382,0.03270223752151463,0.008605851979345954,0.03442340791738382
