,Fz,F3,F7,FT9,FC5,FC1,C3,T7,TP9,CP5,CP1,Pz,P3,P7,O1,Oz,O2,P8,TP10,CP6,CP2,Cz,C4,T8,FT10,FC6,FC2,F4,F8,AF7,AF3,AFz,F1,F5,FT7,FC3,C1,C5,TP7,P1,P5,PO7,POz,PO4,PO8,P2,CPz,TP8,C6,C2,FC4,FT8,F6,AF8,AF4,FCz
Cz,0.04814004376367615,0.0,0.0,0.0,0.0,0.04814004376367615,0.0087527352297593,0.0,0.0,0.0437636761487965,0.04814004376367615,0.045951859956236324,0.0437636761487965,0.0,0.0,0.04814004376367615,0.0,0.0,0.0,0.04814004376367615,0.0,0.0437636761487965,0.04814004376367615,0.0,0.0437636761487965,0.0,0.04814004376367615,0.04814004376367615,0.0,0.0175054704595186,0.04814004376367615,0.0,0.0,0.0,0.030634573304157548,0.0,0.0,0.04814004376367615,0.04814004376367615,0.0,0.0,0.0,0.04814004376367615,0.0,0.0,0.04814004376367615,0.0,0.0,0.0,0.0,0.0,0.04814004376367615,0.0,0.04814004376367615,0.0,0.0
C4,0.05396825396825397,0.0,0.0,0.0,0.0,0.05238095238095238,0.006349206349206349,0.0,0.0,0.03333333333333333,0.05396825396825397,0.04126984126984127,0.03492063492063492,0.0,0.0,0.049206349206349205,0.0,0.0,0.0,0.05396825396825397,0.0,0.03333333333333333,0.049206349206349205,0.0,0.03333333333333333,0.0,0.05396825396825397,0.05238095238095238,0.0,0.012698412698412698,0.05238095238095238,0.0,0.0,0.0,0.022222222222222223,0.0,0.0,0.05238095238095238,0.047619047619047616,0.0,0.0,0.0,0.05396825396825397,0.0,0.0,0.049206349206349205,0.0,0.0,0.0,0.0,0.0,0.05396825396825397,0.0,0.05396825396825397,0.0,0.0
T8,0.0,0.0215633423180593,0.02830188679245283,0.04177897574123989,0.014824797843665768,0.0,0.0,0.03773584905660377,0.022911051212938006,0.0,0.0,0.0,0.0,0.03504043126684636,0.05121293800539083,0.0,0.05121293800539083,0.03504043126684636,0.0444743935309973,0.0,0.04177897574123989,0.0,0.0,0.04582210242587601,0.0,0.04986522911051213,0.0,0.0,0.0,0.0,0.0,0.018867924528301886,0.0,0.005390835579514825,0.0,0.04851752021563342,0.0,0.0,0.0,0.04043126684636118,0.02021563342318059,0.03773584905660377,0.0,0.04716981132075472,0.013477088948787063,0.0,0.05121293800539083,0.0,0.0444743935309973,0.013477088948787063,0.03773584905660377,0.0,0.04582210242587601,0.0,0.0026954177897574125,0.05121293800539083
FT10,0.048879837067209775,0.002036659877800407,0.0,0.0,0.0,0.04684317718940937,0.010183299389002037,0.0,0.0,0.04480651731160896,0.048879837067209775,0.04684317718940937,0.04073319755600815,0.0,0.0,0.04684317718940937,0.0,0.0,0.0,0.048879837067209775,0.0,0.04480651731160896,0.04684317718940937,0.0,0.04480651731160896,0.0,0.048879837067209775,0.048879837067209775,0.0,0.016293279022403257,0.048879837067209775,0.0,0.0,0.0,0.028513238289205704,0.0,0.0,0.048879837067209775,0.04684317718940937,0.0,0.0,0.0,0.048879837067209775,0.0,0.0,0.04480651731160896,0.0,0.0,0.0,0.0,0.0,0.048879837067209775,0.0,0.048879837067209775,0.0,0.0
FC6,0.0,0.021879021879021878,0.02702702702702703,0.04118404118404118,0.014157014157014158,0.0,0.001287001287001287,0.03732303732303732,0.021879021879021878,0.0,0.0,0.001287001287001287,0.0,0.03346203346203346,0.05405405405405406,0.0,0.05148005148005148,0.03474903474903475,0.043758043758043756,0.0,0.039897039897039896,0.0,0.0,0.04633204633204633,0.001287001287001287,0.05019305019305019,0.001287001287001287,0.0,0.0,0.0,0.0,0.018018018018018018,0.0,0.005148005148005148,0.0,0.0489060489060489,0.0,0.0,0.0,0.039897039897039896,0.019305019305019305,0.036036036036036036,0.0,0.047619047619047616,0.01287001287001287,0.0,0.05405405405405406,0.0,0.043758043758043756,0.01287001287001287,0.036036036036036036,0.0,0.043758043758043756,0.001287001287001287,0.002574002574002574,0.055341055341055344
FC2,0.059639389736477116,0.0013869625520110957,0.0,0.0,0.0,0.05131761442441054,0.006934812760055479,0.0,0.0,0.0319001386962552,0.05825242718446602,0.038834951456310676,0.030513176144244106,0.0,0.0,0.047156726768377254,0.0,0.0,0.0,0.059639389736477116,0.0,0.030513176144244106,0.047156726768377254,0.0,0.0319001386962552,0.0,0.05547850208044383,0.05131761442441054,0.0,0.011095700416088766,0.052704576976421634,0.0,0.0,0.0,0.019417475728155338,0.0,0.0,0.05131761442441054,0.044382801664355064,0.0,0.0,0.0,0.056865464632454926,0.0,0.0,0.047156726768377254,0.0,0.0,0.0,0.0,0.0,0.05825242718446602,0.0,0.056865464632454926,0.0,0.0
F4,0.05522388059701493,0.0,0.0,0.0,0.0,0.05373134328358209,0.005970149253731343,0.0,0.0,0.03283582089552239,0.05522388059701493,0.04029850746268657,0.03283582089552239,0.0,0.0,0.049253731343283584,0.0,0.0,0.0,0.05522388059701493,0.0,0.03134328358208955,0.049253731343283584,0.0,0.03283582089552239,0.0,0.05373134328358209,0.05223880597014925,0.0,0.011940298507462687,0.05373134328358209,0.0,0.0,0.0,0.020895522388059702,0.0,0.0,0.05223880597014925,0.04626865671641791,0.0,0.0,0.0,0.05522388059701493,0.0,0.0,0.050746268656716415,0.0,0.0,0.0,0.0,0.0,0.05522388059701493,0.0,0.05373134328358209,0.0,0.0
F8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AF7,0.0449438202247191,0.0,0.0,0.0,0.0,0.0449438202247191,0.016853932584269662,0.0,0.0,0.0449438202247191,0.0449438202247191,0.0449438202247191,0.0449438202247191,0.0,0.0,0.0449438202247191,0.0,0.0,0.0,0.0449438202247191,0.0,0.0449438202247191,0.0449438202247191,0.0,0.0449438202247191,0.0,0.0449438202247191,0.0449438202247191,0.0,0.03932584269662921,0.0449438202247191,0.0,0.0,0.0,0.0449438202247191,0.0,0.0,0.0449438202247191,0.0449438202247191,0.0,0.0,0.0,0.0449438202247191,0.0,0.0,0.0449438202247191,0.0,0.0,0.0,0.0,0.0,0.0449438202247191,0.0,0.0449438202247191,0.0,0.0
AF3,0.055800293685756244,0.0,0.0,0.0,0.0,0.05433186490455213,0.005873715124816446,0.0,0.0,0.032305433186490456,0.055800293685756244,0.039647577092511016,0.032305433186490456,0.0,0.0,0.048458149779735685,0.0,0.0,0.0,0.055800293685756244,0.0,0.030837004405286344,0.048458149779735685,0.0,0.032305433186490456,0.0,0.05433186490455213,0.05286343612334802,0.0,0.011747430249632892,0.05433186490455213,0.0,0.0,0.0,0.020558002936857563,0.0,0.0,0.05286343612334802,0.04552129221732746,0.0,0.0,0.0,0.055800293685756244,0.0,0.0,0.049926578560939794,0.0,0.0,0.0,0.0,0.0,0.055800293685756244,0.0,0.05433186490455213,0.0,0.0
