,Fp1,Fz,F3,FT9,FC5,FC1,C3,T7,TP9,CP5,CP1,Pz,P3,P7,O1,Oz,O2,P4,P8,TP10,CP6,CP2,Cz,C4,T8,FT10,FC2,F4,F8,Fp2,AF7,AF3,AFz,F1,FT7,FC3,C1,C5,TP7,CP3,P1,P5,PO7,PO3,POz,PO4,PO8,P6,P2,CPz,CP4,TP8,C6,C2,FC4,FT8,F6,AF8,AF4,F2,FCz
AF7,0.0,0.0,0.0,0.0,0.06033376123234917,0.0,0.0,0.0,0.0,0.0,0.07958921694480103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07188703465982028,0.0,0.0,0.0,0.04749679075738126,0.0,0.0,0.0,0.08472400513478819,0.0834403080872914,0.0,0.08472400513478819,0.0,0.08472400513478819,0.0,0.0,0.0,0.0,0.08472400513478819,0.0,0.0,0.0,0.08472400513478819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07702182284980745,0.0,0.0,0.07830551989730423,0.0,0.0,0.0,0.0,0.07830551989730423
AF3,0.0,0.011904761904761904,0.0,0.0,0.0,0.0,0.05357142857142857,0.0,0.03571428571428571,0.0,0.0,0.0,0.05357142857142857,0.05357142857142857,0.05357142857142857,0.0,0.05357142857142857,0.0,0.0,0.0,0.05357142857142857,0.0,0.0,0.0,0.05357142857142857,0.0,0.0,0.0,0.05357142857142857,0.0,0.0,0.047619047619047616,0.0,0.05357142857142857,0.0,0.05357142857142857,0.05357142857142857,0.047619047619047616,0.0,0.0,0.0,0.05357142857142857,0.0,0.0,0.05357142857142857,0.0,0.05357142857142857,0.0,0.0,0.05357142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05357142857142857,0.0,0.0
AFz,0.0,0.0,0.0,0.0,0.04801477377654663,0.0,0.0,0.0,0.0,0.0,0.06278855032317636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05170821791320406,0.0,0.0,0.0,0.034164358264081256,0.0,0.0,0.0,0.12742382271468145,0.060941828254847646,0.0,0.1329639889196676,0.0,0.10803324099722991,0.0,0.0,0.0,0.0,0.13204062788550322,0.0,0.0,0.0,0.06371191135734072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.060941828254847646,0.0,0.0,0.05909510618651893,0.0,0.0,0.0,0.0,0.05817174515235457
F1,0.0,0.001771479185119575,0.0,0.04162976085031001,0.0,0.0,0.008857395925597875,0.0,0.005314437555358724,0.0,0.0,0.0,0.06643046944198405,0.06643046944198405,0.06643046944198405,0.0,0.06643046944198405,0.0,0.0,0.0,0.008857395925597875,0.0,0.0,0.0,0.008857395925597875,0.0,0.0,0.0,0.06643046944198405,0.0,0.0,0.0070859167404783,0.0,0.06465899025686449,0.0,0.06200177147918512,0.05580159433126661,0.06023029229406555,0.0,0.0,0.0,0.06643046944198405,0.0,0.0,0.0637732506643047,0.0,0.05137289636846767,0.0,0.0,0.06643046944198405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.053144375553587246,0.04162976085031001,0.0
FT7,0.0,0.0,0.0,0.0,0.05205205205205205,0.0,0.0,0.0,0.0,0.0,0.06706706706706707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.056056056056056056,0.0,0.0,0.0,0.037037037037037035,0.0,0.0,0.0,0.11011011011011011,0.06606606606606606,0.0,0.11511511511511512,0.0,0.11611611611611612,0.0,0.0,0.0,0.0,0.11811811811811812,0.0,0.0,0.0,0.06906906906906907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06606606606606606,0.0,0.0,0.06406406406406406,0.0,0.0,0.0,0.0,0.06306306306306306
FC3,0.0,0.0016366612111292963,0.0,0.038461538461538464,0.0,0.0,0.00900163666121113,0.0,0.004909983633387889,0.0,0.0,0.0,0.06464811783960721,0.0662847790507365,0.07037643207855974,0.0,0.058919803600654665,0.0,0.0,0.0,0.00900163666121113,0.0,0.0,0.0,0.00900163666121113,0.0,0.0,0.0,0.07037643207855974,0.0,0.0,0.006546644844517185,0.0,0.05810147299509002,0.0,0.06873977086743044,0.05564648117839607,0.06710310965630115,0.0,0.0,0.0,0.06382978723404255,0.0,0.0,0.0630114566284779,0.0,0.04828150572831424,0.0,0.0,0.07037643207855974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04991816693944354,0.04582651391162029,0.0
C1,0.0,0.0018552875695732839,0.0,0.04359925788497217,0.0,0.0,0.00927643784786642,0.0,0.0055658627087198514,0.0,0.0,0.0,0.0640074211502783,0.0640074211502783,0.0640074211502783,0.0,0.06029684601113173,0.0,0.0,0.0,0.00927643784786642,0.0,0.0,0.0,0.00927643784786642,0.0,0.0,0.0,0.0640074211502783,0.0,0.0,0.0074211502782931356,0.0,0.06029684601113173,0.0,0.0640074211502783,0.06215213358070501,0.06215213358070501,0.0,0.0,0.0,0.0640074211502783,0.0,0.0,0.06307977736549165,0.0,0.05380333951762523,0.0,0.0,0.0640074211502783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05658627087198516,0.04730983302411874,0.0
C5,0.0,0.0014684287812041115,0.0,0.04185022026431718,0.0,0.0,0.006607929515418502,0.0,0.004405286343612335,0.0,0.0,0.0,0.0565345080763583,0.05800293685756241,0.07415565345080763,0.0,0.0513950073421439,0.0,0.0,0.0,0.006607929515418502,0.0,0.0,0.0,0.006607929515418502,0.0,0.0,0.0,0.08957415565345081,0.0,0.0,0.005873715124816446,0.0,0.052129221732745964,0.0,0.06020558002936858,0.049926578560939794,0.10425844346549193,0.0,0.0,0.0,0.055800293685756244,0.0,0.0,0.0565345080763583,0.0,0.04185022026431718,0.0,0.0,0.09104258443465492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04405286343612335,0.041116005873715125,0.0
TP7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CP3,0.0,0.0,0.0,0.0,0.04351464435146443,0.0,0.0,0.0,0.0,0.0,0.05774058577405858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04686192468619247,0.0,0.0,0.0,0.03096234309623431,0.0,0.0,0.0,0.11297071129707113,0.055230125523012555,0.0,0.11799163179916318,0.0,0.09874476987447699,0.0,0.0,0.0,0.0,0.21673640167364017,0.0,0.0,0.0,0.05774058577405858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055230125523012555,0.0,0.0,0.05355648535564853,0.0,0.0,0.0,0.0,0.052719665271966525
