,Fz,F3,F7,FT9,FC5,FC1,C3,T7,TP9,CP5,CP1,Pz,P3,P7,O1,Oz,O2,P4,P8,TP10,CP6,CP2,Cz,C4,T8,FT10,FC6,FC2,F4,F8,AF7,AF3,AFz,F1,F5,FT7,FC3,C1,C5,TP7,CP3,P1,P5,PO7,PO3,POz,PO4,PO8,P6,CPz,CP4,TP8,C6,C2,FC4,FT8,F6,AF8,AF4,F2
Pz,0.0,0.0,0.04779411764705882,0.03676470588235294,0.0,0.03676470588235294,0.0,0.05514705882352941,0.0,0.03676470588235294,0.0,0.051470588235294115,0.022058823529411766,0.0,0.0,0.03308823529411765,0.0,0.05514705882352941,0.0,0.0,0.003676470588235294,0.04779411764705882,0.04779411764705882,0.04044117647058824,0.0,0.03308823529411765,0.0,0.0,0.0,0.0,0.014705882352941176,0.025735294117647058,0.029411764705882353,0.011029411764705883,0.04411764705882353,0.0,0.003676470588235294,0.0,0.051470588235294115,0.0,0.0,0.04044117647058824,0.0,0.022058823529411766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03308823529411765,0.025735294117647058,0.0,0.0,0.0,0.05514705882352941,0.0,0.05514705882352941,0.04044117647058824
P3,0.02916160388821385,0.020656136087484813,0.03402187120291616,0.032806804374240585,0.02551640340218712,0.0425273390036452,0.024301336573511544,0.013365735115431349,0.00850546780072904,0.013365735115431349,0.0,0.009720534629404616,0.041312272174969626,0.0,0.00850546780072904,0.0425273390036452,0.0036452004860267314,0.024301336573511544,0.0,0.010935601458080195,0.0,0.030376670716889428,0.03766707168894289,0.041312272174969626,0.0,0.018226002430133656,0.007290400972053463,0.0,0.012150668286755772,0.006075334143377886,0.0,0.02187120291616039,0.03645200486026731,0.0,0.02916160388821385,0.0036452004860267314,0.0,0.0,0.030376670716889428,0.006075334143377886,0.002430133657351154,0.02551640340218712,0.031591737545565005,0.041312272174969626,0.0,0.0,0.0,0.032806804374240585,0.010935601458080195,0.018226002430133656,0.007290400972053463,0.0425273390036452,0.0425273390036452,0.0036452004860267314,0.0,0.0,0.027946537059538274,0.0,0.02187120291616039,0.02551640340218712
P7,0.00130718954248366,0.00784313725490196,0.0,0.0,0.00392156862745098,0.0,0.00522875816993464,0.00130718954248366,0.044444444444444446,0.0,0.03790849673202614,0.0,0.0,0.05228758169934641,0.043137254901960784,0.0,0.01699346405228758,0.0,0.0,0.00130718954248366,0.04967320261437908,0.0,0.0,0.0,0.05359477124183006,0.0,0.04967320261437908,0.0,0.036601307189542485,0.0457516339869281,0.01568627450980392,0.0,0.0,0.013071895424836602,0.0,0.050980392156862744,0.03137254901960784,0.03137254901960784,0.0,0.048366013071895426,0.04967320261437908,0.0,0.00261437908496732,0.00130718954248366,0.006535947712418301,0.05228758169934641,0.048366013071895426,0.00522875816993464,0.01699346405228758,0.00784313725490196,0.044444444444444446,0.0,0.00130718954248366,0.05228758169934641,0.040522875816993466,0.027450980392156862,0.0,0.0,0.00130718954248366,0.0
O1,0.011001100110011002,0.0165016501650165,0.0011001100110011,0.0,0.013201320132013201,0.0088008800880088,0.014301430143014302,0.0,0.0517051705170517,0.0,0.0242024202420242,0.0,0.009900990099009901,0.033003300330033,0.0517051705170517,0.0088008800880088,0.0187018701870187,0.0,0.0,0.011001100110011002,0.030803080308030802,0.0,0.0044004400440044,0.007700770077007701,0.039603960396039604,0.0,0.0517051705170517,0.0,0.047304730473047306,0.047304730473047306,0.0044004400440044,0.0,0.0033003300330033004,0.0044004400440044,0.0,0.047304730473047306,0.015401540154015401,0.0176017601760176,0.0,0.04950495049504951,0.041804180418041806,0.0,0.0121012101210121,0.011001100110011002,0.005500550055005501,0.039603960396039604,0.033003300330033,0.014301430143014302,0.0242024202420242,0.0165016501650165,0.04950495049504951,0.0088008800880088,0.011001100110011002,0.047304730473047306,0.0242024202420242,0.0165016501650165,0.0,0.0,0.0,0.0
Oz,0.022526934378060724,0.015670910871694418,0.04701273261508325,0.029382957884427033,0.019588638589618023,0.05484818805093046,0.01860920666013712,0.013712047012732615,0.005876591576885406,0.013712047012732615,0.0,0.010773751224289911,0.03232125367286973,0.0,0.005876591576885406,0.05288932419196866,0.0019588638589618022,0.022526934378060724,0.0,0.007835455435847209,0.0,0.03330068560235064,0.05190989226248776,0.05484818805093046,0.0,0.01665034280117532,0.004897159647404506,0.0,0.00881488736532811,0.0039177277179236044,0.0,0.01762977473065622,0.030362389813907934,0.0,0.02644466209598433,0.0019588638589618022,0.0,0.0,0.040156709108716944,0.0039177277179236044,0.0009794319294809011,0.023506366307541625,0.024485798237022526,0.04407443682664055,0.0,0.0,0.0,0.02840352595494613,0.007835455435847209,0.013712047012732615,0.004897159647404506,0.050930460333006855,0.04995102840352596,0.0019588638589618022,0.0,0.0,0.03525954946131244,0.0,0.02056807051909892,0.023506366307541625
O2,0.013856812933025405,0.025404157043879907,0.0,0.0,0.018475750577367205,0.009237875288683603,0.020785219399538105,0.0,0.04157043879907621,0.0,0.025404157043879907,0.0,0.011547344110854504,0.02771362586605081,0.04157043879907621,0.009237875288683603,0.03926096997690531,0.0,0.0,0.013856812933025405,0.025404157043879907,0.0,0.0,0.006928406466512702,0.03233256351039261,0.0,0.04157043879907621,0.0,0.04157043879907621,0.04157043879907621,0.009237875288683603,0.0,0.0,0.009237875288683603,0.0,0.03926096997690531,0.016166281755196306,0.020785219399538105,0.0,0.04157043879907621,0.03695150115473441,0.0,0.016166281755196306,0.013856812933025405,0.011547344110854504,0.03233256351039261,0.03002309468822171,0.020785219399538105,0.04157043879907621,0.025404157043879907,0.04157043879907621,0.009237875288683603,0.013856812933025405,0.03926096997690531,0.023094688221709007,0.020785219399538105,0.0,0.0,0.0,0.0
P4,0.013961605584642234,0.0017452006980802793,0.04363001745200698,0.038394415357766144,0.008726003490401396,0.038394415357766144,0.006980802792321117,0.034904013961605584,0.0,0.02443280977312391,0.0,0.02617801047120419,0.031413612565445025,0.0017452006980802793,0.0,0.03664921465968586,0.0,0.04712041884816754,0.0,0.0,0.0034904013961605585,0.04363001745200698,0.04363001745200698,0.04013961605584642,0.0,0.029668411867364748,0.0,0.0,0.0,0.0,0.008726003490401396,0.031413612565445025,0.034904013961605584,0.006980802792321117,0.041884816753926704,0.0,0.0034904013961605585,0.0,0.04537521815008726,0.0,0.0,0.04013961605584642,0.017452006980802792,0.031413612565445025,0.0,0.0,0.0,0.019197207678883072,0.0,0.0,0.0,0.03664921465968586,0.03315881326352531,0.0,0.0,0.0,0.04712041884816754,0.0,0.04712041884816754,0.04013961605584642
P8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TP10,0.03859649122807018,0.03859649122807018,0.010526315789473684,0.007017543859649123,0.03859649122807018,0.03508771929824561,0.03859649122807018,0.0,0.028070175438596492,0.0,0.0,0.0,0.03859649122807018,0.0,0.028070175438596492,0.03508771929824561,0.014035087719298246,0.0,0.0,0.14035087719298245,0.0,0.0,0.021052631578947368,0.031578947368421054,0.0035087719298245615,0.0,0.02456140350877193,0.0,0.03859649122807018,0.021052631578947368,0.0,0.0,0.017543859649122806,0.0,0.0,0.014035087719298246,0.0,0.0,0.0,0.021052631578947368,0.010526315789473684,0.0,0.03859649122807018,0.03859649122807018,0.0,0.0035087719298245615,0.0,0.03859649122807018,0.03508771929824561,0.03859649122807018,0.02456140350877193,0.03508771929824561,0.03859649122807018,0.014035087719298246,0.0,0.0,0.0,0.0,0.0,0.0
CP6,0.0,0.0063532401524777635,0.0,0.0,0.0025412960609911056,0.0,0.0038119440914866584,0.0025412960609911056,0.04066073697585769,0.0,0.036848792884371026,0.0,0.0,0.052096569250317665,0.03939008894536213,0.0,0.015247776365946633,0.0,0.0,0.0,0.06607369758576874,0.0,0.0,0.0,0.060991105463786534,0.0,0.05844980940279543,0.0,0.03303684879288437,0.04193138500635324,0.016518424396442185,0.0,0.0,0.01397712833545108,0.0,0.05844980940279543,0.03176620076238882,0.030495552731893267,0.0,0.044472681067344345,0.045743329097839895,0.0,0.0012706480304955528,0.0,0.0063532401524777635,0.048284625158831,0.045743329097839895,0.0038119440914866584,0.015247776365946633,0.0063532401524777635,0.04066073697585769,0.0,0.0,0.062261753494282084,0.03939008894536213,0.026683608640406607,0.0,0.0,0.0025412960609911056,0.0
