,Fp1,Fz,F3,F7,FT9,FC5,FC1,C3,T7,TP9,CP5,CP1,Pz,P3,P7,O1,Oz,O2,P4,P8,TP10,CP6,CP2,Cz,C4,T8,FT10,FC6,FC2,F4,F8,AF7,AF3,AFz,F1,F5,FT7,FC3,C1,C5,TP7,CP3,P1,P5,PO7,PO3,POz,PO4,PO8,P6,P2,CPz,CP4,TP8,C6,C2,FC4,FT8,F6,AF4,F2,FCz
TP10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10526315789473684,0.0,0.10526315789473684,0.0,0.0,0.0,0.0,0.0,0.08771929824561403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10526315789473684,0.0,0.10526315789473684,0.0,0.0,0.0,0.10526315789473684,0.07017543859649122,0.10526315789473684,0.0,0.0,0.0,0.10526315789473684,0.0,0.0,0.10526315789473684,0.0,0.0,0.0,0.0,0.0
CP6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CP2,0.0064516129032258064,0.0,0.0,0.0,0.0,0.05806451612903226,0.0,0.0,0.05161290322580645,0.05806451612903226,0.01935483870967742,0.0,0.0,0.05806451612903226,0.0,0.05806451612903226,0.05806451612903226,0.0,0.025806451612903226,0.05806451612903226,0.0,0.0,0.05161290322580645,0.0,0.025806451612903226,0.04516129032258064,0.012903225806451613,0.05806451612903226,0.0,0.05806451612903226,0.03225806451612903,0.0,0.01935483870967742,0.0,0.05806451612903226,0.0,0.05806451612903226,0.0,0.0,0.0,0.05806451612903226,0.0,0.0,0.0,0.025806451612903226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04516129032258064
Cz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C4,0.010869565217391304,0.0,0.0,0.0,0.0,0.05434782608695652,0.0,0.0,0.05434782608695652,0.05434782608695652,0.03260869565217391,0.0,0.0,0.05434782608695652,0.0,0.05434782608695652,0.05434782608695652,0.0,0.043478260869565216,0.05434782608695652,0.0,0.0,0.05434782608695652,0.0,0.043478260869565216,0.05434782608695652,0.0,0.05434782608695652,0.0,0.05434782608695652,0.05434782608695652,0.0,0.0,0.0,0.05434782608695652,0.0,0.05434782608695652,0.0,0.0,0.0,0.05434782608695652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05434782608695652
T8,0.0070921985815602835,0.0,0.0,0.0,0.0,0.05673758865248227,0.0,0.0,0.05673758865248227,0.05673758865248227,0.02127659574468085,0.0,0.0,0.05673758865248227,0.0,0.05673758865248227,0.05673758865248227,0.0,0.028368794326241134,0.05673758865248227,0.0,0.0,0.05673758865248227,0.0,0.028368794326241134,0.04964539007092199,0.0070921985815602835,0.05673758865248227,0.0,0.05673758865248227,0.03546099290780142,0.0,0.014184397163120567,0.0,0.05673758865248227,0.0,0.05673758865248227,0.0,0.0,0.0,0.05673758865248227,0.0,0.0,0.0,0.02127659574468085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04964539007092199
FT10,0.0,0.0,0.0,0.0,0.02824858757062147,0.01694915254237288,0.05084745762711865,0.0,0.0,0.03389830508474576,0.0,0.0,0.01694915254237288,0.005649717514124294,0.02824858757062147,0.01694915254237288,0.01694915254237288,0.0,0.0,0.011299435028248588,0.0,0.0,0.0,0.0,0.0,0.0,0.096045197740113,0.02824858757062147,0.0,0.022598870056497175,0.0,0.0,0.07344632768361582,0.0,0.03389830508474576,0.05084745762711865,0.01694915254237288,0.0,0.0,0.0,0.022598870056497175,0.0,0.0,0.03389830508474576,0.096045197740113,0.011299435028248588,0.0,0.011299435028248588,0.0,0.0,0.07909604519774012,0.0,0.02824858757062147,0.0,0.04519774011299435,0.0,0.0,0.0,0.06779661016949153,0.0,0.05649717514124294,0.0
FC6,0.004784688995215311,0.0,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.03827751196172249,0.06698564593301436,0.014354066985645933,0.0,0.0,0.0430622009569378,0.0,0.05263157894736842,0.05263157894736842,0.0,0.019138755980861243,0.04784688995215311,0.0,0.0,0.03827751196172249,0.0,0.019138755980861243,0.03349282296650718,0.03349282296650718,0.06220095693779904,0.0,0.05741626794258373,0.023923444976076555,0.0,0.03827751196172249,0.0,0.06698564593301436,0.009569377990430622,0.05263157894736842,0.0,0.0,0.0,0.05741626794258373,0.0,0.0,0.0,0.0430622009569378,0.0,0.0,0.0,0.0,0.0,0.009569377990430622,0.0,0.0,0.0,0.004784688995215311,0.0,0.0,0.0,0.023923444976076555,0.0,0.0,0.03349282296650718
FC2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F4,0.005,0.0,0.0,0.0,0.0,0.055,0.0,0.0,0.04,0.065,0.015,0.0,0.0,0.045,0.0,0.055,0.055,0.0,0.02,0.05,0.0,0.0,0.04,0.0,0.02,0.035,0.03,0.065,0.0,0.06,0.025,0.0,0.035,0.0,0.065,0.005,0.055,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.035
