,Fz,F3,F7,FT9,FC5,FC1,C3,T7,TP9,CP5,CP1,Pz,P3,P7,O1,Oz,O2,P8,TP10,CP6,Cz,C4,T8,FT10,FC6,FC2,F4,F8,Fp2,AF7,AF3,AFz,F1,F5,FT7,FC3,C1,C5,TP7,CP3,P1,P5,PO7,PO3,POz,PO4,PO8,P2,CPz,CP4,TP8,C6,C2,FT8,F6,AF8,AF4,F2,FCz
Cz,0.037714285714285714,0.0,0.04342857142857143,0.03542857142857143,0.0,0.0,0.0,0.04228571428571429,0.0,0.0,0.0,0.038857142857142854,0.0,0.0,0.0,0.032,0.0,0.04342857142857143,0.03314285714285714,0.0,0.04228571428571429,0.0,0.0,0.0,0.04342857142857143,0.0,0.0,0.0,0.0,0.036571428571428574,0.0,0.0,0.04,0.04228571428571429,0.0,0.038857142857142854,0.0,0.038857142857142854,0.029714285714285714,0.0,0.0,0.0,0.04,0.0,0.027428571428571427,0.0,0.0,0.025142857142857144,0.0,0.038857142857142854,0.0,0.038857142857142854,0.03542857142857143,0.027428571428571427,0.04114285714285714,0.0,0.04114285714285714,0.04342857142857143,0.022857142857142857
C4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FT10,0.0,0.05457227138643068,0.0,0.0,0.05309734513274336,0.0,0.05457227138643068,0.0,0.05309734513274336,0.017699115044247787,0.0,0.0,0.0,0.0471976401179941,0.05604719764011799,0.0,0.038348082595870206,0.0,0.0,0.045722713864306784,0.0,0.0,0.0,0.05457227138643068,0.0,0.045722713864306784,0.05014749262536873,0.045722713864306784,0.030973451327433628,0.0,0.05014749262536873,0.0,0.0,0.0,0.05457227138643068,0.0,0.05309734513274336,0.0,0.0,0.0,0.0,0.045722713864306784,0.0,0.0,0.0,0.038348082595870206,0.019174041297935103,0.0,0.0,0.0,0.04277286135693215,0.0,0.0,0.0,0.0,0.048672566371681415,0.0,0.0,0.0
FC6,0.030555555555555555,0.0,0.03518518518518519,0.03148148148148148,0.0,0.0,0.0,0.05740740740740741,0.0,0.001851851851851852,0.0,0.032407407407407406,0.0,0.0,0.0,0.028703703703703703,0.0,0.03611111111111111,0.02962962962962963,0.0,0.03518518518518519,0.0,0.0,0.0,0.06574074074074074,0.0,0.0,0.0,0.0,0.046296296296296294,0.0,0.0,0.03333333333333333,0.03518518518518519,0.0,0.044444444444444446,0.0,0.053703703703703705,0.025925925925925925,0.0,0.0,0.0,0.032407407407407406,0.0,0.025,0.0,0.0,0.023148148148148147,0.0,0.03425925925925926,0.0,0.049074074074074076,0.03148148148148148,0.024074074074074074,0.03611111111111111,0.0,0.03611111111111111,0.06666666666666667,0.018518518518518517
FC2,0.0,0.05272108843537415,0.0,0.0,0.05102040816326531,0.0,0.05272108843537415,0.0,0.05272108843537415,0.022108843537414966,0.0,0.0,0.0,0.04931972789115646,0.05612244897959184,0.0,0.04421768707482993,0.0,0.0,0.04421768707482993,0.0,0.0,0.0,0.05612244897959184,0.0,0.05442176870748299,0.047619047619047616,0.04251700680272109,0.025510204081632654,0.0,0.047619047619047616,0.0,0.0,0.0,0.05272108843537415,0.0,0.05442176870748299,0.0,0.0,0.0,0.0,0.04251700680272109,0.0,0.0,0.0,0.04421768707482993,0.022108843537414966,0.0,0.0,0.0,0.0391156462585034,0.0,0.0,0.0,0.0,0.04591836734693878,0.0,0.0,0.0
F4,0.0,0.05405405405405406,0.0,0.0,0.05405405405405406,0.0,0.05405405405405406,0.0,0.05087440381558029,0.011128775834658187,0.0,0.0,0.0,0.04769475357710652,0.05246422893481717,0.0,0.033386327503974564,0.0,0.0,0.0492845786963434,0.0,0.0,0.0,0.05087440381558029,0.0,0.04133545310015898,0.05246422893481717,0.05087440381558029,0.034976152623211444,0.0,0.05405405405405406,0.0,0.0,0.0,0.05405405405405406,0.0,0.0492845786963434,0.0,0.0,0.0,0.0,0.05087440381558029,0.0,0.0,0.0,0.033386327503974564,0.019077901430842606,0.0,0.0,0.0,0.04769475357710652,0.0,0.0,0.0,0.0,0.05405405405405406,0.0,0.0,0.0
F8,0.0,0.054187192118226604,0.0,0.0,0.05090311986863711,0.0,0.052545155993431854,0.0,0.047619047619047616,0.006568144499178982,0.0,0.0,0.0,0.04433497536945813,0.04926108374384237,0.0,0.029556650246305417,0.0,0.0,0.047619047619047616,0.0,0.0,0.0,0.047619047619047616,0.0,0.03776683087027915,0.04926108374384237,0.060755336617405585,0.03940886699507389,0.0,0.060755336617405585,0.0,0.0,0.0,0.054187192118226604,0.0,0.04597701149425287,0.0,0.0,0.0,0.0,0.059113300492610835,0.0,0.0,0.0,0.029556650246305417,0.014778325123152709,0.0,0.0,0.0,0.059113300492610835,0.0,0.0,0.0,0.0,0.059113300492610835,0.0,0.0,0.0
Fp2,0.0,0.058524173027989825,0.0,0.0,0.05343511450381679,0.0,0.05597964376590331,0.0,0.04834605597964377,0.0,0.0,0.0,0.0,0.043256997455470736,0.05089058524173028,0.0,0.020356234096692113,0.0,0.0,0.04834605597964377,0.0,0.0,0.0,0.04834605597964377,0.0,0.03307888040712468,0.05089058524173028,0.061068702290076333,0.058524173027989825,0.0,0.061068702290076333,0.0,0.0,0.0,0.058524173027989825,0.0,0.04580152671755725,0.0,0.0,0.0,0.0,0.061068702290076333,0.0,0.0,0.0,0.020356234096692113,0.0,0.0,0.0,0.0,0.061068702290076333,0.0,0.0,0.0,0.0,0.061068702290076333,0.0,0.0,0.0
AF7,0.028128031037827354,0.0,0.03200775945683802,0.03394762366634336,0.0,0.0,0.0,0.0533462657613967,0.0,0.0,0.0,0.03297769156159069,0.0,0.0,0.0,0.031037827352085354,0.0,0.03200775945683802,0.03491755577109602,0.0,0.03297769156159069,0.0,0.0,0.0,0.052376333656644035,0.0,0.0,0.0,0.0,0.061105722599418044,0.0,0.0,0.03297769156159069,0.031037827352085354,0.0,0.04849660523763336,0.0,0.06304558680892337,0.027158098933074686,0.0,0.0,0.0,0.031037827352085354,0.0,0.030067895247332686,0.0,0.0,0.028128031037827354,0.0,0.03685741998060136,0.0,0.05722599418040737,0.03297769156159069,0.01842870999030068,0.03491755577109602,0.0,0.03491755577109602,0.0504364694471387,0.01745877788554801
