,Fp1,Fz,F3,F7,FT9,FC5,FC1,C3,T7,TP9,CP5,CP1,Pz,P3,P7,O1,Oz,O2,P4,P8,TP10,CP6,CP2,Cz,C4,T8,FT10,FC6,FC2,F4,F8,Fp2,AF7,AF3,AFz,F1,F5,FT7,FC3,C1,C5,TP7,CP3,P1,PO7,PO3,POz,PO4,PO8,P6,P2,CPz,CP4,TP8,C6,C2,FC4,FT8,F6,AF8,AF4,F2,FCz
TP10,0.03052064631956912,0.0,0.0,0.03949730700179533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05385996409335727,0.0,0.0,0.0,0.00718132854578097,0.0,0.03770197486535009,0.0,0.0,0.04847396768402154,0.0,0.0,0.03590664272890485,0.04488330341113106,0.0,0.0,0.0,0.0,0.03770197486535009,0.0,0.04308797127468582,0.05385996409335727,0.0,0.010771992818671455,0.05206463195691203,0.026929982046678635,0.05026929982046679,0.04847396768402154,0.04488330341113106,0.003590664272890485,0.01615798922800718,0.03052064631956912,0.0,0.02872531418312388,0.0,0.0,0.03770197486535009,0.04488330341113106,0.03770197486535009,0.0,0.010771992818671455,0.04488330341113106,0.03411131059245961,0.0,0.0,0.0,0.0,0.04488330341113106,0.0,0.0,0.0,0.0
CP6,0.0,0.03225806451612903,0.03225806451612903,0.0,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.0,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.0,0.03225806451612903,0.0,0.03225806451612903,0.03225806451612903,0.0,0.0,0.03225806451612903,0.0,0.0,0.03225806451612903,0.03225806451612903,0.0,0.0,0.0,0.03225806451612903,0.0,0.0,0.03225806451612903,0.0,0.0,0.0,0.0,0.0,0.0,0.03225806451612903,0.0,0.0,0.03225806451612903,0.0,0.0,0.03225806451612903,0.0,0.0,0.0,0.03225806451612903,0.0,0.0,0.0,0.03225806451612903,0.03225806451612903,0.0,0.03225806451612903,0.0,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.03225806451612903
CP2,0.0,0.04411764705882353,0.022058823529411766,0.0,0.025735294117647058,0.051470588235294115,0.04963235294117647,0.04963235294117647,0.04963235294117647,0.007352941176470588,0.027573529411764705,0.0,0.022058823529411766,0.014705882352941176,0.014705882352941176,0.001838235294117647,0.016544117647058824,0.001838235294117647,0.007352941176470588,0.04595588235294118,0.0,0.0,0.04779411764705882,0.0,0.0,0.0055147058823529415,0.04963235294117647,0.0,0.0,0.0,0.04963235294117647,0.0,0.0,0.04963235294117647,0.0,0.0,0.0,0.0,0.0,0.0,0.001838235294117647,0.0,0.0,0.051470588235294115,0.0,0.0,0.009191176470588236,0.0,0.0,0.001838235294117647,0.0055147058823529415,0.0,0.0,0.001838235294117647,0.04779411764705882,0.04411764705882353,0.0,0.016544117647058824,0.0,0.04411764705882353,0.04779411764705882,0.02389705882352941,0.04963235294117647
Cz,0.03556485355648536,0.0,0.0,0.04184100418410042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043933054393305436,0.0,0.0,0.0,0.008368200836820083,0.0,0.04184100418410042,0.0,0.0,0.043933054393305436,0.0,0.0,0.0397489539748954,0.043933054393305436,0.0,0.0,0.0,0.0,0.04184100418410042,0.0,0.043933054393305436,0.043933054393305436,0.0,0.012552301255230125,0.043933054393305436,0.029288702928870293,0.043933054393305436,0.043933054393305436,0.043933054393305436,0.0041841004184100415,0.01882845188284519,0.03556485355648536,0.0,0.029288702928870293,0.0,0.0,0.04184100418410042,0.043933054393305436,0.04184100418410042,0.0,0.012552301255230125,0.043933054393305436,0.03765690376569038,0.0,0.0,0.0,0.0,0.043933054393305436,0.0,0.0,0.0,0.0
C4,0.031423290203327174,0.0,0.0,0.04066543438077634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04990757855822551,0.0,0.0,0.0,0.0073937153419593345,0.0,0.038817005545286505,0.0,0.0,0.04621072088724584,0.0,0.0,0.036968576709796676,0.04621072088724584,0.0,0.0,0.0,0.0,0.038817005545286505,0.0,0.04436229205175601,0.04990757855822551,0.0,0.011090573012939002,0.04805914972273567,0.027726432532347505,0.04621072088724584,0.04621072088724584,0.04621072088724584,0.0036968576709796672,0.0166358595194085,0.031423290203327174,0.0,0.029574861367837338,0.0,0.0,0.038817005545286505,0.04621072088724584,0.038817005545286505,0.0,0.011090573012939002,0.04621072088724584,0.03512014787430684,0.0,0.0,0.0,0.0,0.04621072088724584,0.0,0.0,0.0,0.0
T8,0.0,0.03361344537815126,0.03361344537815126,0.0,0.03361344537815126,0.03361344537815126,0.03361344537815126,0.03361344537815126,0.03361344537815126,0.03361344537815126,0.03361344537815126,0.0,0.03361344537815126,0.03361344537815126,0.03361344537815126,0.0,0.03361344537815126,0.0,0.03361344537815126,0.03361344537815126,0.0,0.0,0.03361344537815126,0.0,0.0,0.025210084033613446,0.03361344537815126,0.0,0.0,0.0,0.03361344537815126,0.0,0.0,0.03361344537815126,0.0,0.0,0.0,0.0,0.0,0.0,0.008403361344537815,0.0,0.0,0.03361344537815126,0.0,0.0,0.03361344537815126,0.0,0.0,0.0,0.025210084033613446,0.0,0.0,0.0,0.03361344537815126,0.03361344537815126,0.0,0.03361344537815126,0.0,0.03361344537815126,0.03361344537815126,0.03361344537815126,0.03361344537815126
FT10,0.0,0.0423728813559322,0.020338983050847456,0.0,0.023728813559322035,0.0576271186440678,0.05254237288135593,0.05423728813559322,0.05423728813559322,0.006779661016949152,0.025423728813559324,0.0,0.020338983050847456,0.013559322033898305,0.013559322033898305,0.001694915254237288,0.015254237288135594,0.001694915254237288,0.006779661016949152,0.04745762711864407,0.0,0.0,0.04576271186440678,0.0,0.0,0.005084745762711864,0.05254237288135593,0.0,0.0,0.0,0.05593220338983051,0.0,0.0,0.05254237288135593,0.0,0.0,0.0,0.0,0.0,0.0,0.001694915254237288,0.0,0.0,0.04745762711864407,0.0,0.0,0.00847457627118644,0.0,0.0,0.001694915254237288,0.005084745762711864,0.0,0.0,0.001694915254237288,0.04576271186440678,0.04067796610169491,0.0,0.015254237288135594,0.0,0.04067796610169491,0.04576271186440678,0.022033898305084745,0.05423728813559322
FC6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FC2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F4,0.03469387755102041,0.0,0.0,0.04081632653061224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044897959183673466,0.0,0.0,0.0,0.00816326530612245,0.0,0.04081632653061224,0.0,0.0,0.044897959183673466,0.0,0.0,0.03877551020408163,0.044897959183673466,0.0,0.0,0.0,0.0,0.04081632653061224,0.0,0.044897959183673466,0.044897959183673466,0.0,0.012244897959183673,0.044897959183673466,0.02857142857142857,0.044897959183673466,0.044897959183673466,0.044897959183673466,0.004081632653061225,0.018367346938775512,0.03469387755102041,0.0,0.02857142857142857,0.0,0.0,0.04081632653061224,0.044897959183673466,0.04081632653061224,0.0,0.012244897959183673,0.044897959183673466,0.036734693877551024,0.0,0.0,0.0,0.0,0.044897959183673466,0.0,0.0,0.0,0.0
