,Fp1,Fz,F3,F7,FT9,FC5,FC1,C3,T7,TP9,CP5,CP1,Pz,P7,O1,Oz,O2,P4,P8,TP10,CP6,CP2,Cz,C4,T8,FT10,FC6,FC2,F4,F8,AF7,AF3,AFz,F1,F5,FT7,FC3,C1,C5,TP7,CP3,P1,P5,PO7,PO4,PO8,P6,P2,CPz,CP4,TP8,C6,C2,FC4,FT8,F6,AF8,AF4,F2,FCz
C4,0.0,0.0,0.06521739130434782,0.0,0.0,0.0,0.010869565217391304,0.0,0.06521739130434782,0.06521739130434782,0.0,0.06521739130434782,0.0,0.043478260869565216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06521739130434782,0.0,0.05434782608695652,0.0,0.06521739130434782,0.0,0.03260869565217391,0.0,0.010869565217391304,0.0,0.06521739130434782,0.0,0.0,0.0,0.0,0.0,0.06521739130434782,0.0,0.0,0.0,0.06521739130434782,0.06521739130434782,0.0,0.0,0.06521739130434782,0.0,0.0,0.0,0.06521739130434782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06521739130434782
T8,0.0,0.0,0.0,0.05397727272727273,0.06912878787878787,0.0,0.0,0.0,0.0,0.0,0.06534090909090909,0.0,0.0,0.0,0.0,0.0,0.0,0.06628787878787878,0.0,0.0,0.0,0.0,0.0,0.0,0.06818181818181818,0.0,0.0,0.0,0.048295454545454544,0.0,0.06534090909090909,0.0,0.043560606060606064,0.06723484848484848,0.0,0.0,0.06723484848484848,0.0,0.06912878787878787,0.056818181818181816,0.0,0.0,0.0,0.0,0.0,0.0,0.04734848484848485,0.0,0.06628787878787878,0.0,0.0,0.0,0.05303030303030303,0.0,0.0,0.06439393939393939,0.0,0.028409090909090908,0.0,0.0
FT10,0.0,0.0,0.020754716981132074,0.0,0.0,0.0,0.0018867924528301887,0.0,0.1169811320754717,0.11509433962264151,0.0,0.08490566037735849,0.0,0.007547169811320755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01509433962264151,0.0,0.009433962264150943,0.0,0.11509433962264151,0.0,0.005660377358490566,0.0,0.0018867924528301887,0.0,0.1169811320754717,0.0,0.0,0.0,0.0,0.0,0.020754716981132074,0.0,0.0,0.0,0.1169811320754717,0.1018867924528302,0.0,0.0,0.01509433962264151,0.0,0.0,0.0,0.01509433962264151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11886792452830189
FC6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FC2,0.0,0.0,0.06153846153846154,0.0,0.0,0.0,0.015384615384615385,0.0,0.06153846153846154,0.06153846153846154,0.0,0.06153846153846154,0.0,0.06153846153846154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06153846153846154,0.0,0.06153846153846154,0.0,0.06153846153846154,0.0,0.046153846153846156,0.0,0.015384615384615385,0.0,0.06153846153846154,0.0,0.0,0.0,0.0,0.0,0.06153846153846154,0.0,0.0,0.0,0.06153846153846154,0.06153846153846154,0.0,0.0,0.06153846153846154,0.0,0.0,0.0,0.06153846153846154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06153846153846154
F4,0.0,0.0,0.0,0.06107784431137724,0.06107784431137724,0.0,0.0,0.0,0.0,0.0,0.06107784431137724,0.0,0.0,0.0,0.0,0.0,0.0,0.06107784431137724,0.0,0.0,0.0,0.0,0.0,0.0,0.06107784431137724,0.0,0.0,0.0,0.059880239520958084,0.0,0.06107784431137724,0.0,0.05389221556886228,0.06107784431137724,0.0,0.0,0.06107784431137724,0.0,0.06107784431137724,0.06107784431137724,0.0,0.0,0.0,0.0,0.0,0.0,0.0562874251497006,0.0,0.06107784431137724,0.0,0.0,0.0,0.06107784431137724,0.0,0.0,0.06107784431137724,0.0,0.03592814371257485,0.0,0.0
F8,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.029411764705882353,0.0,0.058823529411764705,0.058823529411764705,0.0,0.058823529411764705,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,0.058823529411764705,0.0,0.058823529411764705,0.0,0.058823529411764705,0.0,0.029411764705882353,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.058823529411764705,0.058823529411764705,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705
AF7,0.0,0.0,0.0,0.054966248794599805,0.0665380906460945,0.0,0.0,0.0,0.0,0.0,0.06557377049180328,0.0,0.0,0.0,0.0,0.0,0.0,0.0665380906460945,0.0,0.0,0.0,0.0,0.0,0.0,0.0665380906460945,0.0,0.0,0.0,0.04918032786885246,0.0,0.06557377049180328,0.0,0.044358727097396335,0.0665380906460945,0.0,0.0,0.0665380906460945,0.0,0.0665380906460945,0.05785920925747348,0.0,0.0,0.0,0.0,0.0,0.0,0.048216007714561235,0.0,0.0665380906460945,0.0,0.0,0.0,0.05400192864030858,0.0,0.0,0.06557377049180328,0.0,0.02892960462873674,0.0,0.0
AF3,0.0,0.0,0.0176,0.0,0.0,0.0,0.0016,0.0,0.1248,0.1216,0.0,0.072,0.0,0.0064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0128,0.0,0.008,0.0,0.0992,0.0,0.0048,0.0,0.0016,0.0,0.1392,0.0,0.0,0.0,0.0,0.0,0.0176,0.0,0.0,0.0,0.1184,0.0864,0.0,0.0,0.0128,0.0,0.0,0.0,0.0128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1424
AFz,0.0,0.0,0.0,0.06013071895424837,0.06013071895424837,0.0,0.0,0.0,0.0,0.0,0.06013071895424837,0.0,0.0,0.0,0.0,0.0,0.0,0.06013071895424837,0.0,0.0,0.0,0.0,0.0,0.0,0.06013071895424837,0.0,0.0,0.0,0.06013071895424837,0.0,0.06013071895424837,0.0,0.058823529411764705,0.06013071895424837,0.0,0.0,0.06013071895424837,0.0,0.06013071895424837,0.06013071895424837,0.0,0.0,0.0,0.0,0.0,0.0,0.06013071895424837,0.0,0.06013071895424837,0.0,0.0,0.0,0.06013071895424837,0.0,0.0,0.06013071895424837,0.0,0.0392156862745098,0.0,0.0
F1,0.0,0.0,0.0,0.05347091932457786,0.06660412757973734,0.0,0.0,0.0,0.0,0.0,0.0647279549718574,0.0,0.0,0.0,0.0,0.0,0.0,0.06848030018761726,0.0,0.0,0.0,0.0,0.0,0.0,0.0647279549718574,0.0,0.0,0.0,0.04784240150093809,0.0,0.06378986866791744,0.0,0.043151969981238276,0.06941838649155722,0.0,0.0,0.07035647279549719,0.0,0.07035647279549719,0.05628517823639775,0.0,0.0,0.0,0.0,0.0,0.0,0.04690431519699812,0.0,0.06941838649155722,0.0,0.0,0.0,0.0525328330206379,0.0,0.0,0.06378986866791744,0.0,0.028142589118198873,0.0,0.0
F5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FT7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FC3,0.0,0.0,0.0,0.053420805998125584,0.06654170571696345,0.0,0.0,0.0,0.0,0.0,0.06466729147141519,0.0,0.0,0.0,0.0,0.0,0.0,0.06841611996251172,0.0,0.0,0.0,0.0,0.0,0.0,0.06466729147141519,0.0,0.0,0.0,0.04779756326148079,0.0,0.06373008434864105,0.0,0.04311152764761012,0.06935332708528585,0.0,0.0,0.07029053420805999,0.0,0.07122774133083412,0.056232427366447985,0.0,0.0,0.0,0.0,0.0,0.0,0.046860356138706656,0.0,0.06935332708528585,0.0,0.0,0.0,0.05248359887535145,0.0,0.0,0.06373008434864105,0.0,0.028116213683223992,0.0,0.0
C1,0.0,0.0,0.07801418439716312,0.0,0.0,0.0,0.0070921985815602835,0.0,0.07092198581560284,0.06382978723404255,0.0,0.07092198581560284,0.0,0.028368794326241134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05673758865248227,0.0,0.03546099290780142,0.0,0.07092198581560284,0.0,0.02127659574468085,0.0,0.0070921985815602835,0.0,0.07092198581560284,0.0,0.0,0.0,0.0,0.0,0.07801418439716312,0.0,0.0,0.0,0.07092198581560284,0.07092198581560284,0.0,0.0,0.05673758865248227,0.0,0.0,0.0,0.05673758865248227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0851063829787234
C5,0.0,0.0,0.0,0.050442477876106194,0.06637168141592921,0.0,0.0,0.0,0.0,0.0,0.061061946902654866,0.0,0.0,0.0,0.0,0.0,0.0,0.06460176991150443,0.0,0.0,0.0,0.0,0.0,0.0,0.06460176991150443,0.0,0.0,0.0,0.04513274336283186,0.0,0.061061946902654866,0.0,0.04070796460176991,0.06637168141592921,0.0,0.0,0.06725663716814159,0.0,0.11327433628318584,0.05309734513274336,0.0,0.0,0.0,0.0,0.0,0.0,0.04424778761061947,0.0,0.06548672566371681,0.0,0.0,0.0,0.049557522123893805,0.0,0.0,0.06017699115044248,0.0,0.02654867256637168,0.0,0.0
TP7,0.0,0.0,0.0,0.06019007391763464,0.06335797254487856,0.0,0.0,0.0,0.0,0.0,0.06335797254487856,0.0,0.0,0.0,0.0,0.0,0.0,0.06335797254487856,0.0,0.0,0.0,0.0,0.0,0.0,0.06335797254487856,0.0,0.0,0.0,0.05385427666314678,0.0,0.06335797254487856,0.0,0.048574445617740235,0.06335797254487856,0.0,0.0,0.06335797254487856,0.0,0.06335797254487856,0.06230200633579725,0.0,0.0,0.0,0.0,0.0,0.0,0.05279831045406547,0.0,0.06335797254487856,0.0,0.0,0.0,0.057022175290390706,0.0,0.0,0.06335797254487856,0.0,0.03167898627243928,0.0,0.0
CP3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
