,Fp1,Fz,F3,F7,FT9,FC5,FC1,C3,T7,TP9,CP5,CP1,Pz,P3,P7,O1,Oz,O2,P4,P8,TP10,CP6,CP2,Cz,C4,T8,FT10,FC6,FC2,F4,F8,AF7,AF3,AFz,F1,F5,FT7,FC3,C1,C5,TP7,CP3,P1,P5,PO7,PO3,POz,PO4,PO8,P6,P2,CPz,CP4,TP8,C6,C2,FC4,FT8,F6,AF4,F2,FCz
FC2,0.0,0.046511627906976744,0.0,0.0,0.0,0.0,0.046511627906976744,0.0,0.0,0.0,0.009302325581395349,0.046511627906976744,0.046511627906976744,0.0,0.046511627906976744,0.0,0.0,0.0,0.0,0.046511627906976744,0.0,0.03255813953488372,0.046511627906976744,0.046511627906976744,0.04186046511627907,0.046511627906976744,0.046511627906976744,0.046511627906976744,0.04186046511627907,0.0,0.0,0.0,0.046511627906976744,0.0,0.037209302325581395,0.046511627906976744,0.0,0.046511627906976744,0.0,0.0,0.0,0.0,0.0,0.046511627906976744,0.0,0.046511627906976744,0.046511627906976744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046511627906976744,0.0,0.0,0.0
F4,0.0,0.0,0.391304347826087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3695652173913043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2391304347826087,0.0,0.0,0.0
F8,0.19718309859154928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.035211267605633804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34507042253521125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.035211267605633804,0.035211267605633804,0.0,0.0,0.0,0.035211267605633804,0.0,0.0,0.0,0.0,0.0,0.31690140845070425,0.0,0.0
AF7,0.0,0.0,0.05898617511520737,0.0,0.04608294930875576,0.055299539170506916,0.0,0.0,0.047926267281105994,0.0,0.0,0.0,0.0,0.0,0.0,0.060829493087557605,0.0,0.06728110599078341,0.0,0.0,0.059907834101382486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0663594470046083,0.0,0.055299539170506916,0.0,0.0,0.0,0.0,0.0,0.0,0.06451612903225806,0.034101382488479264,0.0,0.0,0.0,0.0,0.0,0.0,0.059907834101382486,0.059907834101382486,0.06728110599078341,0.0,0.0,0.059907834101382486,0.06543778801843318,0.0,0.0,0.02857142857142857,0.0,0.0423963133640553,0.0,0.0
AF3,0.0,0.021551724137931036,0.0,0.0,0.0,0.0,0.028017241379310345,0.0,0.0,0.0,0.004310344827586207,0.028017241379310345,0.06896551724137931,0.0,0.06896551724137931,0.0,0.0,0.0,0.0,0.036637931034482756,0.0,0.05172413793103448,0.023706896551724137,0.06896551724137931,0.05818965517241379,0.028017241379310345,0.023706896551724137,0.03017241379310345,0.01939655172413793,0.0,0.0,0.0,0.06465517241379311,0.0,0.017241379310344827,0.02586206896551724,0.0,0.06896551724137931,0.0,0.0,0.0,0.0,0.0,0.06896551724137931,0.03879310344827586,0.06465517241379311,0.02586206896551724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06465517241379311,0.0,0.0,0.0
AFz,0.0,0.0,0.058333333333333334,0.0,0.04583333333333333,0.05520833333333333,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.06041666666666667,0.0,0.0625,0.0,0.0,0.059375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,0.06145833333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.03854166666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.059375,0.059375,0.0625,0.0,0.0,0.059375,0.0625,0.0,0.0,0.03229166666666667,0.0,0.04791666666666667,0.0,0.0
F1,0.0,0.04568527918781726,0.0,0.0,0.0,0.0,0.04568527918781726,0.0,0.0,0.0,0.01015228426395939,0.04568527918781726,0.04568527918781726,0.0,0.04568527918781726,0.0,0.0,0.0,0.0,0.04568527918781726,0.0,0.03553299492385787,0.04568527918781726,0.04568527918781726,0.04568527918781726,0.04568527918781726,0.04568527918781726,0.04568527918781726,0.04568527918781726,0.0,0.0,0.0,0.04568527918781726,0.0,0.04060913705583756,0.04568527918781726,0.0,0.04568527918781726,0.0,0.0,0.0,0.0,0.0,0.04568527918781726,0.0,0.04568527918781726,0.04568527918781726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04568527918781726,0.0,0.0,0.0
F5,0.0,0.038910505836575876,0.0,0.0,0.0,0.0,0.05058365758754864,0.0,0.0,0.0,0.007782101167315175,0.05058365758754864,0.05058365758754864,0.0,0.05058365758754864,0.0,0.0,0.0,0.0,0.04669260700389105,0.0,0.027237354085603113,0.042801556420233464,0.05058365758754864,0.03501945525291829,0.05058365758754864,0.042801556420233464,0.05058365758754864,0.03501945525291829,0.0,0.0,0.0,0.05058365758754864,0.0,0.0311284046692607,0.04669260700389105,0.0,0.05058365758754864,0.0,0.0,0.0,0.0,0.0,0.05058365758754864,0.0,0.04669260700389105,0.04669260700389105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04669260700389105,0.0,0.0,0.0
FT7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FC3,0.0,0.012762762762762763,0.0,0.04054054054054054,0.0,0.0,0.00975975975975976,0.0,0.0,0.0,0.0015015015015015015,0.024774774774774775,0.06456456456456457,0.0,0.07882882882882883,0.0,0.0,0.0,0.0,0.09234234234234234,0.0007507507507507507,0.03753753753753754,0.023273273273273273,0.04954954954954955,0.0472972972972973,0.00975975975975976,0.008258258258258258,0.010510510510510511,0.006756756756756757,0.0,0.0,0.0,0.023273273273273273,0.0,0.006006006006006006,0.009009009009009009,0.0,0.16441441441441443,0.0,0.0,0.0,0.0,0.0,0.07432432432432433,0.042042042042042045,0.07432432432432433,0.009009009009009009,0.0,0.0007507507507507507,0.0007507507507507507,0.0,0.0,0.0,0.0007507507507507507,0.0,0.0,0.036036036036036036,0.0,0.04054054054054054,0.0,0.0,0.0
C1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TP7,0.0,0.0,0.05841325196163906,0.006974716652136007,0.043591979075850044,0.05231037489102005,0.0,0.0,0.045335658238884045,0.0,0.0,0.0,0.0,0.0,0.0,0.05754141238012206,0.0,0.06451612903225806,0.0,0.0,0.05928509154315606,0.0,0.006974716652136007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06277244986922406,0.0,0.05231037489102005,0.0,0.0,0.0,0.0,0.0,0.0,0.07672188317349608,0.03225806451612903,0.0,0.0,0.0,0.0,0.0,0.0,0.05928509154315606,0.05928509154315606,0.06451612903225806,0.0,0.0,0.05928509154315606,0.06451612903225806,0.0,0.006974716652136007,0.02702702702702703,0.0,0.04010462074978204,0.0,0.0
CP3,0.0,0.0,0.056402439024390245,0.0,0.056402439024390245,0.056402439024390245,0.0,0.0,0.056402439024390245,0.0,0.0,0.0,0.0,0.0,0.0,0.056402439024390245,0.0,0.056402439024390245,0.0,0.0,0.056402439024390245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.056402439024390245,0.0,0.056402439024390245,0.0,0.0,0.0,0.0,0.0,0.0,0.056402439024390245,0.054878048780487805,0.0,0.0,0.0,0.0,0.0,0.0,0.056402439024390245,0.056402439024390245,0.056402439024390245,0.0,0.0,0.056402439024390245,0.056402439024390245,0.0,0.0,0.04420731707317073,0.0,0.054878048780487805,0.0,0.0
P1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P5,0.0,0.010090817356205853,0.0,0.0,0.0,0.0,0.013118062563067608,0.0,0.0,0.0,0.0020181634712411706,0.03834510595358224,0.09081735620585267,0.0,0.09889001009081735,0.0,0.0,0.0,0.0,0.045408678102926335,0.0,0.050454086781029264,0.011099899091826439,0.06659939455095863,0.06357214934409687,0.013118062563067608,0.011099899091826439,0.014127144298688193,0.009081735620585268,0.0,0.0,0.0,0.03128153380423814,0.0,0.008072653884964682,0.012108980827447022,0.0,0.09889001009081735,0.0,0.0,0.0,0.0,0.0,0.1029263370332997,0.04944500504540868,0.09283551967709384,0.012108980827447022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054490413723511606,0.0,0.0,0.0
PO7,0.0045385779122541605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05597579425113464,0.0,0.08472012102874432,0.0,0.0,0.0,0.0,0.059001512859304085,0.0226928895612708,0.06505295007564296,0.0,0.06505295007564296,0.06959152798789713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02723146747352496,0.0,0.0,0.0,0.0,0.08472012102874432,0.0,0.0,0.0,0.0,0.0,0.07715582450832073,0.17397881996974282,0.08472012102874432,0.0,0.0,0.024205748865355523,0.024205748865355523,0.0,0.0,0.0,0.0226928895612708,0.0,0.0,0.0,0.0,0.05446293494704992,0.0,0.0,0.0
PO3,0.0,0.009606147934678195,0.0,0.0,0.0,0.0,0.012487992315081652,0.0,0.0,0.0,0.0019212295869356388,0.03842459173871278,0.07780979827089338,0.0,0.09606147934678194,0.0,0.0,0.0,0.0,0.04899135446685879,0.0,0.04803073967339097,0.010566762728146013,0.06243996157540826,0.06051873198847262,0.012487992315081652,0.010566762728146013,0.012487992315081652,0.008645533141210375,0.0,0.0,0.0,0.029779058597502402,0.0,0.007684918347742555,0.011527377521613832,0.0,0.09606147934678194,0.0,0.0,0.0,0.0,0.0,0.09125840537944284,0.052833813640730067,0.13640730067243034,0.011527377521613832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05187319884726225,0.0,0.0,0.0
